productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extAttack3,extResistance
218626,Pokemon TCG: Battle Academy,Pokemon TCG Battle Academy,https://tcgplayer-cdn.tcgplayer.com/product/218626_200w.jpg,3,2686,https://cpt.tcgcsv.com/xsM2,2020-07-30T13:14:32.6,1,"Join the Pokémon Trainers at the Battle Academy! Prepare for a Pokémon battle with the ready-to-play Pokémon Trading Card Game Battle Academy! The Battle Academy includes everything two players need to play, with guides to the decks so your first game is easy to follow.
<br><br>You can choose Charizard or Pikachu to lead your team in a heads-up battle against another Trainer. Then, switch up the decks to play Mewtwo against Charizard or Pikachu, and lead a different team of Pokémon into the arena! With a little strategy and a little luck, you can battle with the best!
<br><br>
The Pokémon TCG Battle Academy includes:
<br>• 3 complete Pokémon TCG decks (60 cards each)
<br>• Each deck includes a powerful special Pokémon: Charizard GX, Raichu GX, or Mewtwo GX
<br>• 2 tutorial guides to play right away
<br>• 1 two-player game board
<br>• 3 deck boxes to keep the cards organized
<br>• 1 rulebook
<br>• 1 large metallic coin
<br>• 1 set of damage counters
219047,Fire Energy (#38 Charizard Stamped),Fire Energy 38 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219047_200w.jpg,3,2686,https://cpt.tcgcsv.com/ZDM2,2022-09-19T18:05:57.547,1,,,0.05,0.25,1.28,0.19,,Normal,,Promo,Basic Fire Energy,,,,,,,,
219048,Charmander - 18/147 (#16 Charizard Stamped),Charmander 18 147 16 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219048_200w.jpg,3,2686,https://cpt.tcgcsv.com/-DM2,2022-09-19T17:41:22.913,1,,,0.11,0.52,1.49,0.51,,Normal,018/147,Promo,Fire,70,Basic,[1] Scratch (10),[1R] Flame Tail (20),Wx2,1,,
219049,Charmander - 18/147 (#42 Charizard Stamped),Charmander 18 147 42 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219049_200w.jpg,3,2686,https://cpt.tcgcsv.com/_DM2,2022-09-19T17:41:38.837,1,,,0.13,0.38,1.11,0.41,,Normal,018/147,Common,Fire,70,Basic,[1] Scratch (10),[1R] Flame Tail (20),Wx2,1,,
219050,Charmander - 18/147 (#56 Charizard Stamped),Charmander 18 147 56 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219050_200w.jpg,3,2686,https://cpt.tcgcsv.com/0FM2,2022-09-19T17:42:08.327,1,,,0.23,0.48,1.11,0.48,,Normal,018/147,Promo,Fire,70,Basic,[1] Scratch (10),[1R] Flame Tail (20),Wx2,1,,
219051,Charmeleon - 8/68 (#15 Charizard Stamped),Charmeleon 8 68 15 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219051_200w.jpg,3,2686,https://cpt.tcgcsv.com/2FM2,2022-09-19T17:43:30.677,1,,,0.1,0.35,1.11,0.32,,Normal,008/068,Promo,Fire,100,Stage 1,[1R] Slash (30),[1RR] Flamethrower (80),Wx2,1,,
219052,Charmeleon - 8/68 (#30 Charizard Stamped),Charmeleon 8 68 30 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219052_200w.jpg,3,2686,https://cpt.tcgcsv.com/3FM2,2022-09-19T17:43:52.067,1,,,0.15,0.32,1.49,0.31,,Normal,008/068,Promo,Fire,100,Stage 1,[1R] Slash (30),[1RR] Flamethrower (80),Wx2,1,,
219053,Charmeleon - 8/68 (#51 Charizard Stamped),Charmeleon 8 68 51 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219053_200w.jpg,3,2686,https://cpt.tcgcsv.com/5FM2,2022-09-19T17:44:18.03,1,,,0.19,0.74,2.2,0.69,,Normal,008/068,Promo,Fire,100,Stage 1,[1R] Slash (30),[1RR] Flamethrower (80),Wx2,1,,
219056,Bug Catcher - 189/236 (#34 Charizard Stamped),Bug Catcher 189 236 34 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219056_200w.jpg,3,2686,https://cpt.tcgcsv.com/8FM2,2022-09-19T17:29:09.97,1,"Draw 2 cards. Flip a coin. If heads, draw 2 more cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,0.03,0.2,0.66,0.09,,Normal,189/236,Promo,Supporter,,,,,,,,
219057,Bug Catcher - 189/236 (#47 Charizard Stamped),Bug Catcher 189 236 47 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219057_200w.jpg,3,2686,https://cpt.tcgcsv.com/9FM2,2022-09-19T17:30:42.733,1,"Draw 2 cards. Flip a coin. If heads, draw 2 more cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,0.01,0.25,0.99,0.31,,Normal,189/236,Promo,Supporter,,,,,,,,
219058,Charizard - 3/70 (#39 Charizard Stamped),Charizard 3 70 39 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219058_200w.jpg,3,2686,https://cpt.tcgcsv.com/bFM2,2025-05-14T19:22:33.317,1,"<strong>Ability — Resolute Flame</strong>
<br>This Pokémon's attacks do 30 more damage to your opponent's Active Pokémon for each of their Pokémon-GX and Pokémon-EX in play.",,4.0,6.45,10.99,5.93,,Normal,003/070,Promo,Fire,160,Stage 2,"[1RR] Fiery Blast (130)
<br>Discard an Energy from this Pokémon.",,Wx2,2,,
219059,Charizard GX - 9/68 (#60 Charizard Stamped),Charizard GX 9 68 60 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219059_200w.jpg,3,2686,https://cpt.tcgcsv.com/cFM2,2022-09-19T17:39:25.163,1,"<em>Pokémon-GX rule — When your Pokémon-GX is Knocked Out, your opponent takes 2 Prize cards.</em>",,8.22,12.49,100.0,10.8,,Holofoil,009/068,Promo,Fire,250,Stage 2,[2RR] Flamethrower (140),"<span style=""color:Teal""><strong>[2RR] Flare Blitz GX (300)</strong>
<br><em>(You can't use more than 1 GX attack in a game.)</em></span>",Wx2,3,,
219060,Cynthia - 119/156 (#21 Charizard Stamped),Cynthia 119 156 21 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219060_200w.jpg,3,2686,https://cpt.tcgcsv.com/dFM2,2022-09-19T17:46:28.52,1,"Shuffle your hand into your deck. Then, draw 6 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,0.2,0.44,4.99,0.45,,Normal,119/156,Promo,Supporter,,,,,,,,
219062,Cynthia - 119/156 (#50 Charizard Stamped),Cynthia 119 156 50 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219062_200w.jpg,3,2686,https://cpt.tcgcsv.com/gFM2,2025-12-09T16:42:31.733,1,"Shuffle your hand into your deck. Then, draw 6 cards.",,0.15,0.42,2.99,0.39,0.41,Normal,119/156,Promo,Supporter,,,,,,,,
219063,Cynthia - 119/156 (#59 Charizard Stamped),Cynthia 119 156 59 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219063_200w.jpg,3,2686,https://cpt.tcgcsv.com/hFM2,2022-09-19T17:48:02.523,1,"Shuffle your hand into your deck. Then, draw 6 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",,0.12,0.41,3.99,0.41,,Normal,119/156,Promo,Supporter,,,,,,,,
219064,Eevee - 49/68 (#26 Charizard Stamped),Eevee 49 68 26 Charizard Stamped,https://tcgplayer-cdn.tcgplayer.com/product/219064_200w.jpg,3,2686,https://cpt.tcgcsv.com/jFM2,2022-09-19T17:51:07.043,1,,,0.25,0.73,2.11,0.74,,Normal,049/068,Promo,Colorless,60,Basic,[1] Gnaw (20),,Fx2,1,,
