productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardType,extCardText
85619,Garbodor (Team Plasma) (66),Garbodor Team Plasma 66,https://tcgplayer-cdn.tcgplayer.com/product/85619_200w.jpg,3,1413,https://cpt.tcgcsv.com/pgJ,2023-01-10T17:10:05.83,1,66/135,Holo Rare,110,Stage 1,"[1] Biosmog (20) The Defending Pokemon is now Poisoned.  Flip a coin.  If heads, discard an Energy attached to that Pokemon.",[1PP] Sludge Bomb (70),Px2,,3,0.75,3.37,5.99,5.03,,Reverse Holofoil,,
85620,Garbodor (Team Plasma) (67),Garbodor Team Plasma 67,https://tcgplayer-cdn.tcgplayer.com/product/85620_200w.jpg,3,1413,https://cpt.tcgcsv.com/qgJ,2023-01-10T17:10:12.42,1,67/135,Rare,110,Stage 1,[2] Ensnarl (20x) Does 20 damage times the number of C in the Defending Pokemon's Retreat Cost.,[3P] Double Ducts (80x) Flip 2 coins.  This attack does 80 damage times the number of heads.,Px2,,3,0.38,0.75,5.0,1.01,,Normal,,
85620,Garbodor (Team Plasma) (67),Garbodor Team Plasma 67,https://tcgplayer-cdn.tcgplayer.com/product/85620_200w.jpg,3,1413,https://cpt.tcgcsv.com/qgJ,2023-01-10T17:10:12.42,1,67/135,Rare,110,Stage 1,[2] Ensnarl (20x) Does 20 damage times the number of C in the Defending Pokemon's Retreat Cost.,[3P] Double Ducts (80x) Flip 2 coins.  This attack does 80 damage times the number of heads.,Px2,,3,4.92,8.46,12.0,4.79,,Reverse Holofoil,,
85738,Giratina (Team Plasma),Giratina Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85738_200w.jpg,3,1413,https://cpt.tcgcsv.com/NjJ,2025-11-19T13:05:40.517,1,62/135,Rare,130,Basic,"[2P] Hex (50+) If the Defending Pokemon is affected by a Special Condition, this attack does 50 more damage.",[2PP] Shadow Claw (90) Discard a random card from your opponent's hand.,Dx2,,3,2.4,4.15,5.1,4.86,,Normal,,
85738,Giratina (Team Plasma),Giratina Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/85738_200w.jpg,3,1413,https://cpt.tcgcsv.com/NjJ,2025-11-19T13:05:40.517,1,62/135,Rare,130,Basic,"[2P] Hex (50+) If the Defending Pokemon is affected by a Special Condition, this attack does 50 more damage.",[2PP] Shadow Claw (90) Discard a random card from your opponent's hand.,Dx2,,3,21.9,79.99,99.99,29.8,99.99,Reverse Holofoil,,
85798,Golbat,Golbat,https://tcgplayer-cdn.tcgplayer.com/product/85798_200w.jpg,3,1413,https://cpt.tcgcsv.com/-kJ,2025-11-11T22:44:28.357,1,54/135,Uncommon,80,Stage 1,[1P] Spiral Drain (20) Heal 20 damage from this Pokemon.,,Lx2,F-20,1,0.2,0.29,19.5,0.28,0.2,Normal,,
85798,Golbat,Golbat,https://tcgplayer-cdn.tcgplayer.com/product/85798_200w.jpg,3,1413,https://cpt.tcgcsv.com/-kJ,2025-11-11T22:44:28.357,1,54/135,Uncommon,80,Stage 1,[1P] Spiral Drain (20) Heal 20 damage from this Pokemon.,,Lx2,F-20,1,0.6,2.47,24.98,2.45,2.51,Reverse Holofoil,,
85920,Grotle,Grotle,https://tcgplayer-cdn.tcgplayer.com/product/85920_200w.jpg,3,1413,https://cpt.tcgcsv.com/qnJ,2026-02-17T15:01:10.197,1,2/135,Uncommon,100,Stage 1,"[2G] Knock Away (40+) Flip a coin.  If heads, this attack does 20 more damage.",,Rx2,W-20,3,0.25,0.43,19.5,0.43,0.35,Normal,,
85920,Grotle,Grotle,https://tcgplayer-cdn.tcgplayer.com/product/85920_200w.jpg,3,1413,https://cpt.tcgcsv.com/qnJ,2026-02-17T15:01:10.197,1,2/135,Uncommon,100,Stage 1,"[2G] Knock Away (40+) Flip a coin.  If heads, this attack does 20 more damage.",,Rx2,W-20,3,3.0,6.13,30.0,5.95,,Reverse Holofoil,,
85983,Gurdurr,Gurdurr,https://tcgplayer-cdn.tcgplayer.com/product/85983_200w.jpg,3,1413,https://cpt.tcgcsv.com/HpJ,2023-01-10T17:13:40.42,1,80/135,Uncommon,90,Stage 1,"[2F] Dynamic Punch (40+) Flip a coin.  If heads, this attack does 20 more damage and the Defending Pokemon is now Confused.",[2FF] Hammer In (80),Px2,,3,0.23,0.36,5.0,0.35,0.25,Normal,,
85983,Gurdurr,Gurdurr,https://tcgplayer-cdn.tcgplayer.com/product/85983_200w.jpg,3,1413,https://cpt.tcgcsv.com/HpJ,2023-01-10T17:13:40.42,1,80/135,Uncommon,90,Stage 1,"[2F] Dynamic Punch (40+) Flip a coin.  If heads, this attack does 20 more damage and the Defending Pokemon is now Confused.",[2FF] Hammer In (80),Px2,,3,0.99,1.17,6.25,1.16,,Reverse Holofoil,,
86046,Heatmor,Heatmor,https://tcgplayer-cdn.tcgplayer.com/product/86046_200w.jpg,3,1413,https://cpt.tcgcsv.com/XqJ,2023-01-10T16:59:52.883,1,23/135,Uncommon,90,Basic,[R] Luring Flame - Switch 1 of your opponent's Benched Pokemon with the Defending Pokemon.  The new Defending Pokemon is now Burned.,[RRR] Fiery Licks (50x) Discard the top 4 cards of your deck.  This attack does 50 damage times the number of R Energy cards you discarded.,Wx2,,2,0.19,0.32,5.0,0.31,,Normal,,
86046,Heatmor,Heatmor,https://tcgplayer-cdn.tcgplayer.com/product/86046_200w.jpg,3,1413,https://cpt.tcgcsv.com/XqJ,2023-01-10T16:59:52.883,1,23/135,Uncommon,90,Basic,[R] Luring Flame - Switch 1 of your opponent's Benched Pokemon with the Defending Pokemon.  The new Defending Pokemon is now Burned.,[RRR] Fiery Licks (50x) Discard the top 4 cards of your deck.  This attack does 50 damage times the number of R Energy cards you discarded.,Wx2,,2,0.01,0.95,2.0,0.81,,Reverse Holofoil,,
86256,Hypnotoxic Laser (Team Plasma),Hypnotoxic Laser Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86256_200w.jpg,3,1413,https://cpt.tcgcsv.com/8wJ,2025-10-21T22:14:43.993,1,123/135,Uncommon,0,Item,"Your opponent's Active Pokemon is now Poisoned.  Flip a coin.  If heads, your opponent's Active Pokemon is also Asleep.",,,,,0.62,1.91,19.99,1.91,1.87,Normal,Item,You may play as many Item cards as you like during your turn (before your attack).
86256,Hypnotoxic Laser (Team Plasma),Hypnotoxic Laser Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/86256_200w.jpg,3,1413,https://cpt.tcgcsv.com/8wJ,2025-10-21T22:14:43.993,1,123/135,Uncommon,0,Item,"Your opponent's Active Pokemon is now Poisoned.  Flip a coin.  If heads, your opponent's Active Pokemon is also Asleep.",,,,,5.25,9.49,19.15,11.72,,Reverse Holofoil,Item,You may play as many Item cards as you like during your turn (before your attack).
