productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
515659,Gastly,Gastly,https://tcgplayer-cdn.tcgplayer.com/product/515659_200w.jpg,3,23266,https://cpt.tcgcsv.com/ch86,2023-09-08T14:03:45.343,1,,,0.02,0.17,1.49,0.13,,Normal,064/196,Common,Psychic,40,Basic,"[P] Furtive Drop
<br>
Put 1 damage counter on your opponent's Active Pokémon.",Dx2,,,F-30
515660,Haunter,Haunter,https://tcgplayer-cdn.tcgplayer.com/product/515660_200w.jpg,3,23266,https://cpt.tcgcsv.com/dh86,2023-09-08T14:04:24.37,1,,,0.04,0.17,1.49,0.14,,Normal,065/196,Uncommon,Psychic,70,Stage 1,"[P] Cursed Drop
<br>
Put 3 damage counters on your opponent's Pokémon in any way you like.",Dx2,1,,F-30
515661,Gengar (2022 Copyright Date),Gengar 2022 Copyright Date,https://tcgplayer-cdn.tcgplayer.com/product/515661_200w.jpg,3,23266,https://cpt.tcgcsv.com/fh86,2025-11-22T02:43:31.217,1,"<strong>Ability — Netherworld Gate</strong>
<br>
Once during your turn, if this Pokémon is in your discard pile, you may put it onto your Bench. If you do, put 3 damage counters on this Pokémon.",,0.2,0.62,9.99,0.62,0.6,Holofoil,066/196,Holo Rare,Psychic,120,Stage 2,"[P] Screaming Circle
<br>
Put 2 damage counters on your opponent's Active Pokémon for each of your opponent's Benched Pokémon.",Dx2,2,,F-30
515662,Duskull,Duskull,https://tcgplayer-cdn.tcgplayer.com/product/515662_200w.jpg,3,23266,https://cpt.tcgcsv.com/gh86,2023-09-08T14:05:06.583,1,,,0.02,0.15,5.0,0.1,,Normal,069/185,Common,Psychic,60,Basic,"[1] Future Sight 
<br>Look at the top 4 cards of either player's deck and put them back in any order.",Dx2,1,,F-30
515663,Dusclops,Dusclops,https://tcgplayer-cdn.tcgplayer.com/product/515663_200w.jpg,3,23266,https://cpt.tcgcsv.com/hh86,2025-11-21T05:32:23.703,1,,,0.01,0.14,1.49,0.11,0.1,Normal,070/185,Uncommon,Psychic,90,Stage 1,"[1] Confuse Ray
<br>Your opponent's Active Pokémon is now Confused.",Dx2,2,[2P] Psypunch (60),F-30
515664,Dusknoir,Dusknoir,https://tcgplayer-cdn.tcgplayer.com/product/515664_200w.jpg,3,23266,https://cpt.tcgcsv.com/jh86,2023-09-08T14:07:43.853,1,"<strong>Ability — Spectral Breach</strong>
<br>All Special Energy attached to Pokémon <em>(both yours and your opponent's)</em> provide Colorless Energy and have no other effect.",,0.01,0.15,1.49,0.09,,Holofoil,071/185,Holo Rare,Psychic,150,Stage 2,[2P] Spooky Shot (120),Dx2,2,,F-30
515665,Shuppet,Shuppet,https://tcgplayer-cdn.tcgplayer.com/product/515665_200w.jpg,3,23266,https://cpt.tcgcsv.com/kh86,2023-09-08T14:08:08.263,1,,,0.01,0.1,1.49,0.06,,Normal,087/198,Common,Psychic,60,Basic,"[P] Wrapped in Shadows (10)
<br>Flip a coin. If heads, the opponent can’t play Item cards from their hand during their next turn.",Dx2,1,,F-30
515666,Banette,Banette,https://tcgplayer-cdn.tcgplayer.com/product/515666_200w.jpg,3,23266,https://cpt.tcgcsv.com/lh86,2023-09-08T14:08:28.747,1,"<strong>Ability — Puppet Offering</strong>
<br>
Once during your turn, you may put a Supporter card from your discard pile into your hand. If you do, put this Pokémon in the Lost Zone. <em>(Discard all attached cards.)</em>",,0.02,0.15,4.0,0.13,,Normal,073/196,Rare,Psychic,100,Stage 1,[PP] Spooky Shot (50),Dx2,1,,F-30
515668,Mismagius,Mismagius,https://tcgplayer-cdn.tcgplayer.com/product/515668_200w.jpg,3,23266,https://cpt.tcgcsv.com/nh86,2023-09-08T14:08:52.913,1,,,0.01,0.2,1.16,0.17,,Normal,088/193,Uncommon,Psychic,90,Stage 1,,Dx2,1,,F-30
515670,Drifloon,Drifloon,https://tcgplayer-cdn.tcgplayer.com/product/515670_200w.jpg,3,23266,https://cpt.tcgcsv.com/qh86,2023-09-08T18:16:25.57,1,,,0.01,0.1,1.49,0.07,,Normal,089/198,Common,Psychic,70,Basic,[2] Gust (10),Dx2,1,"[PP] Balloon Bomb (30x)
<br>This attack does 30 damage for each damage counter on this Pokemon.",F-30
