productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
152845,Great Ball (#25) (Alolan Raichu Half-Deck),Great Ball 25 Alolan Raichu Half Deck,https://tcgplayer-cdn.tcgplayer.com/product/152845_200w.jpg,3,2069,https://cpt.tcgcsv.com/W8f2,2022-12-14T15:29:14.873,0,0.01,0.25,4.0,0.33,,Normal,25/30,Common,Item,,,,,,,,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.
152846,Great Ball (#21) (Lycanroc Half-Deck),Great Ball 21 Lycanroc Half Deck,https://tcgplayer-cdn.tcgplayer.com/product/152846_200w.jpg,3,2069,https://cpt.tcgcsv.com/X8f2,2022-12-14T15:28:34.793,0,0.02,0.2,4.0,0.12,,Normal,21/30,Common,Item,,,,,,,,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.
152847,Great Ball (#25) (Lycanroc Half-Deck),Great Ball 25 Lycanroc Half Deck,https://tcgplayer-cdn.tcgplayer.com/product/152847_200w.jpg,3,2069,https://cpt.tcgcsv.com/Z8f2,2022-12-14T15:29:21.007,0,0.02,0.19,4.0,0.06,,Normal,25/30,Common,Item,,,,,,,,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.
152848,Toucannon,Toucannon,https://tcgplayer-cdn.tcgplayer.com/product/152848_200w.jpg,3,2069,https://cpt.tcgcsv.com/-8f2,2022-12-14T15:28:46.5,0,0.04,0.2,4.0,0.17,,Normal,22/30,Uncommon,Colorless,140,Stage 2,"[2] Echoed Voice (60)
<br>During your next turn, this Pokemon's Echoed Voice attack does 60 more damage <em>(before applying Weakness and Resistance)</em>.","[3] Beak Blast (100)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Burned.",Lx2,F-20,2,
152849,Big Malasada,Big Malasada,https://tcgplayer-cdn.tcgplayer.com/product/152849_200w.jpg,3,2069,https://cpt.tcgcsv.com/_8f2,2022-12-14T15:29:45.347,0,0.03,0.2,4.0,0.12,,Normal,27/30,Common,Item,,,,,,,,Heal 20 damage and remove a Special Condition from your Active Pokemon.
152850,Lightning Energy (#1),Lightning Energy 1,https://tcgplayer-cdn.tcgplayer.com/product/152850_200w.jpg,3,2069,https://cpt.tcgcsv.com/09f2,2022-12-14T15:22:56.363,0,0.04,0.18,0.5,0.08,,Normal,1/30,Common,Basic Lightning Energy,,,,,,,,
152851,Lightning Energy (#2),Lightning Energy 2,https://tcgplayer-cdn.tcgplayer.com/product/152851_200w.jpg,3,2069,https://cpt.tcgcsv.com/29f2,2022-12-14T15:23:13.55,0,0.04,0.2,1.49,0.07,,Normal,2/30,Common,Basic Lightning Energy,,,,,,,,
152852,Lightning Energy (#3),Lightning Energy 3,https://tcgplayer-cdn.tcgplayer.com/product/152852_200w.jpg,3,2069,https://cpt.tcgcsv.com/39f2,2022-12-14T15:23:19.16,0,0.01,0.18,0.99,0.05,,Normal,2/30,Common,Basic Lightning Energy,,,,,,,,
152853,Lightning Energy (#5),Lightning Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/152853_200w.jpg,3,2069,https://cpt.tcgcsv.com/59f2,2022-12-14T15:23:59.857,0,0.01,0.24,0.5,0.06,,Normal,5/30,Common,Basic Lightning Energy,,,,,,,,
152854,Lightning Energy (#7),Lightning Energy 7,https://tcgplayer-cdn.tcgplayer.com/product/152854_200w.jpg,3,2069,https://cpt.tcgcsv.com/69f2,2022-12-14T15:24:43.247,0,0.01,0.21,0.5,0.09,,Normal,7/30,Common,Basic Lightning Energy,,,,,,,,
