productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
88939,Sawk,Sawk,https://tcgplayer-cdn.tcgplayer.com/product/88939_200w.jpg,3,1394,https://cpt.tcgcsv.com/PBK,2023-01-06T17:03:29.287,1,69/124,Uncommon,Fighting,90,Basic,,[1] Defensive Stance - Heal 30 damage from this Pokemon.  Switch this Pokemon with 1 of your Benched Pokemon.,Px2,,1,0.14,0.31,2.28,0.31,,Normal,[2F] Karate Chop (70-) Does 70 damage minus 10 for each damage counter on this Pokemon.
88939,Sawk,Sawk,https://tcgplayer-cdn.tcgplayer.com/product/88939_200w.jpg,3,1394,https://cpt.tcgcsv.com/PBK,2023-01-06T17:03:29.287,1,69/124,Uncommon,Fighting,90,Basic,,[1] Defensive Stance - Heal 30 damage from this Pokemon.  Switch this Pokemon with 1 of your Benched Pokemon.,Px2,,1,0.35,0.55,5.49,0.46,,Reverse Holofoil,[2F] Karate Chop (70-) Does 70 damage minus 10 for each damage counter on this Pokemon.
89034,Sealeo,Sealeo,https://tcgplayer-cdn.tcgplayer.com/product/89034_200w.jpg,3,1394,https://cpt.tcgcsv.com/JDK,2023-01-06T16:47:52.223,1,30/124,Uncommon,Water,80,Stage 1,,[1W] Ice Ball (30),Mx2,,3,0.16,0.31,3.29,0.37,0.49,Normal,[2W] Aurora Beam (40)
89034,Sealeo,Sealeo,https://tcgplayer-cdn.tcgplayer.com/product/89034_200w.jpg,3,1394,https://cpt.tcgcsv.com/JDK,2023-01-06T16:47:52.223,1,30/124,Uncommon,Water,80,Stage 1,,[1W] Ice Ball (30),Mx2,,3,0.25,0.7,5.0,0.67,,Reverse Holofoil,[2W] Aurora Beam (40)
89058,Seismitoad,Seismitoad,https://tcgplayer-cdn.tcgplayer.com/product/89058_200w.jpg,3,1394,https://cpt.tcgcsv.com/bFK,2025-11-10T23:02:27.547,1,36/124,Rare,Water,140,Stage 2,,"[3] Echoed Voice (50) During your next turn, this Pokemon's attack does 50 more damage (before applying Weakness and Resistance).",Gx2,,2,0.25,0.64,1.69,0.64,0.48,Normal,[3W] Drain Punch (80) Heal 20 damage from this Pokemon.
89058,Seismitoad,Seismitoad,https://tcgplayer-cdn.tcgplayer.com/product/89058_200w.jpg,3,1394,https://cpt.tcgcsv.com/bFK,2025-11-10T23:02:27.547,1,36/124,Rare,Water,140,Stage 2,,"[3] Echoed Voice (50) During your next turn, this Pokemon's attack does 50 more damage (before applying Weakness and Resistance).",Gx2,,2,1.07,1.25,2.31,1.23,,Reverse Holofoil,[3W] Drain Punch (80) Heal 20 damage from this Pokemon.
89072,Serperior,Serperior,https://tcgplayer-cdn.tcgplayer.com/product/89072_200w.jpg,3,1394,https://cpt.tcgcsv.com/sFK,2023-01-06T17:18:40.463,1,125/124,Secret Rare,Grass,130,Stage 2,"Royal Heal - At any time between turns, heal 10 damage from each of your Pokemon.  (Ability)",[1G] Leaf Tornado (60) Move as many G Energy attached to your Pokemon to your other Pokemon in any way you like.,Rx2,W-20,1,115.0,136.39,151.99,145.99,,Holofoil,
89121,Shedinja,Shedinja,https://tcgplayer-cdn.tcgplayer.com/product/89121_200w.jpg,3,1394,https://cpt.tcgcsv.com/rGK,2023-01-06T16:57:00.23,1,48/124,Rare,Psychic,60,Stage 1,"Empty Shell - If this Pokemon is Knocked Out, your opponent can't take any Prize cards for it.  (Ability)",[P] Cursed Drop - Put 3 damage counters on your opponent's Pokemon in any way you like.,,,0,1.57,2.1,4.83,2.63,,Normal,
89121,Shedinja,Shedinja,https://tcgplayer-cdn.tcgplayer.com/product/89121_200w.jpg,3,1394,https://cpt.tcgcsv.com/rGK,2023-01-06T16:57:00.23,1,48/124,Rare,Psychic,60,Stage 1,"Empty Shell - If this Pokemon is Knocked Out, your opponent can't take any Prize cards for it.  (Ability)",[P] Cursed Drop - Put 3 damage counters on your opponent's Pokemon in any way you like.,,,0,2.91,3.89,8.0,3.81,,Reverse Holofoil,
89206,Sigilyph,Sigilyph,https://tcgplayer-cdn.tcgplayer.com/product/89206_200w.jpg,3,1394,https://cpt.tcgcsv.com/8JK,2023-01-06T16:57:35.097,1,52/124,Holo Rare,Psychic,90,Basic,"Safeguard - Prevent all effects of attacks, including damage, done to this Pokemon by Pokemon-EX.  (Ability)",[2P] Psychic (50+) Does 10 more damage for each Energy attached to the Defending Pokemon.,Px2,,1,0.39,0.66,2.4,0.54,,Holofoil,
