productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost,extResistance,extAttack3,extUPC
85709,Giovanni (104),Giovanni 104,https://tcgplayer-cdn.tcgplayer.com/product/85709_200w.jpg,3,1440,https://cpt.tcgcsv.com/cjJ,2026-02-18T17:59:59.333,1,104/132,Rare,Trainer,"Choose 1 of your Pokémon in play with Giovanni in its name. For the rest of your turn, you may evolve that Pokémon even if you just played or evolved it this turn or if this is your first turn. This effect also applies to the Pokémon it evolves into.",10.0,11.26,60.0,15.73,,1st Edition,,,,,,,,,
85709,Giovanni (104),Giovanni 104,https://tcgplayer-cdn.tcgplayer.com/product/85709_200w.jpg,3,1440,https://cpt.tcgcsv.com/cjJ,2026-02-18T17:59:59.333,1,104/132,Rare,Trainer,"Choose 1 of your Pokémon in play with Giovanni in its name. For the rest of your turn, you may evolve that Pokémon even if you just played or evolved it this turn or if this is your first turn. This effect also applies to the Pokémon it evolves into.",2.42,4.0,9.75,4.6,,Unlimited,,,,,,,,,
85710,Giovanni's Gyarados,Giovannis Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/85710_200w.jpg,3,1440,https://cpt.tcgcsv.com/djJ,2022-11-19T15:50:59.263,1,005/132,Holo Rare,Water,,347.99,384.47,399.99,352.24,,1st Edition Holofoil,90,Stage 1,"[W] Summon Storm
<br>Flip 2 coins. If both of them are heads, this attack does 20 damage to each other Pokémon <em>(even your own)</em>. Don't apply Weakness and Resistance for this attack.","[2WW] Dragon Tornado (40)
<br>Unless this attack Knocks Out the Defending Pokémon, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.",G,3,F-30,,
85710,Giovanni's Gyarados,Giovannis Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/85710_200w.jpg,3,1440,https://cpt.tcgcsv.com/djJ,2022-11-19T15:50:59.263,1,005/132,Holo Rare,Water,,90.0,112.68,203.46,107.33,169.99,Unlimited Holofoil,90,Stage 1,"[W] Summon Storm
<br>Flip 2 coins. If both of them are heads, this attack does 20 damage to each other Pokémon <em>(even your own)</em>. Don't apply Weakness and Resistance for this attack.","[2WW] Dragon Tornado (40)
<br>Unless this attack Knocks Out the Defending Pokémon, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.",G,3,F-30,,
85711,Giovanni's Last Resort,Giovannis Last Resort,https://tcgplayer-cdn.tcgplayer.com/product/85711_200w.jpg,3,1440,https://cpt.tcgcsv.com/fjJ,2022-11-19T15:51:15.943,1,105/132,Rare,Trainer,Remove all damage counters from 1 of your Pokémon with Giovanni in its name. Then discard your hand.,14.01,33.78,55.97,16.09,,1st Edition,,,,,,,,,
85711,Giovanni's Last Resort,Giovannis Last Resort,https://tcgplayer-cdn.tcgplayer.com/product/85711_200w.jpg,3,1440,https://cpt.tcgcsv.com/fjJ,2022-11-19T15:51:15.943,1,105/132,Rare,Trainer,Remove all damage counters from 1 of your Pokémon with Giovanni in its name. Then discard your hand.,7.0,9.71,33.0,8.48,,Unlimited,,,,,,,,,
85712,Giovanni's Machamp,Giovannis Machamp,https://tcgplayer-cdn.tcgplayer.com/product/85712_200w.jpg,3,1440,https://cpt.tcgcsv.com/gjJ,2022-11-19T15:52:41.037,1,006/132,Holo Rare,Fighting,"<strong>Pokémon Power: Fortitude</strong> If Giovanni's Machamp would be Knocked Out by an opponent's attack, flip a coin. If heads, Giovanni's Machamp is not Knocked Out and its remaining HP become 10 instead. This power can't be used if Giovanni's Machamp is already Asleep, Confused, or Paralyzed",58.69,82.27,86.52,105.66,,1st Edition Holofoil,100,Stage 2,"[1FFF] Hurricane Punch (30x)
<br>Flip 4 coins. This attack does 30 damage times the number of heads.",,P,3,,,
85712,Giovanni's Machamp,Giovannis Machamp,https://tcgplayer-cdn.tcgplayer.com/product/85712_200w.jpg,3,1440,https://cpt.tcgcsv.com/gjJ,2022-11-19T15:52:41.037,1,006/132,Holo Rare,Fighting,"<strong>Pokémon Power: Fortitude</strong> If Giovanni's Machamp would be Knocked Out by an opponent's attack, flip a coin. If heads, Giovanni's Machamp is not Knocked Out and its remaining HP become 10 instead. This power can't be used if Giovanni's Machamp is already Asleep, Confused, or Paralyzed",48.82,72.69,125.0,68.11,,Unlimited Holofoil,100,Stage 2,"[1FFF] Hurricane Punch (30x)
<br>Flip 4 coins. This attack does 30 damage times the number of heads.",,P,3,,,
85713,Giovanni's Machoke,Giovannis Machoke,https://tcgplayer-cdn.tcgplayer.com/product/85713_200w.jpg,3,1440,https://cpt.tcgcsv.com/hjJ,2025-11-26T19:20:53.93,1,042/132,Uncommon,Fighting,,4.15,6.18,34.99,6.45,,1st Edition,80,Stage 1,"[F] Risky Attack (60)
<br>Flip a coin. If tails, this attack does no damage to the Defending Pokémon and Giovanni's Machoke does 100 damage to itself.","[1FF] Headlock (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 20 more damage and the Defending Pokémon is now Paralyzed. If tails, this attack does 20 damage.",P,2,,,
85713,Giovanni's Machoke,Giovannis Machoke,https://tcgplayer-cdn.tcgplayer.com/product/85713_200w.jpg,3,1440,https://cpt.tcgcsv.com/hjJ,2025-11-26T19:20:53.93,1,042/132,Uncommon,Fighting,,0.99,2.41,52.18,2.29,2.49,Unlimited,80,Stage 1,"[F] Risky Attack (60)
<br>Flip a coin. If tails, this attack does no damage to the Defending Pokémon and Giovanni's Machoke does 100 damage to itself.","[1FF] Headlock (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 20 more damage and the Defending Pokémon is now Paralyzed. If tails, this attack does 20 damage.",P,2,,,
