productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost
83833,Bill (#5),Bill 5,https://tcgplayer-cdn.tcgplayer.com/product/83833_200w.jpg,3,1540,https://cpt.tcgcsv.com/HxH,2023-12-20T15:35:38.083,1,5/30,Common,Supporter,Draw 2 cards.,0.3,0.47,2.35,0.35,,Normal,,,,,,,
83834,Bill (#18),Bill 18,https://tcgplayer-cdn.tcgplayer.com/product/83834_200w.jpg,3,1540,https://cpt.tcgcsv.com/JxH,2023-12-20T15:55:54,1,18/30,Common,Supporter,Draw 2 cards.,0.25,0.32,1.6,0.3,,Normal,,,,,,,
84427,Copycat,Copycat,https://tcgplayer-cdn.tcgplayer.com/product/84427_200w.jpg,3,1540,https://cpt.tcgcsv.com/zNH,2023-12-20T18:10:58.18,1,21/30,Common,Supporter,"Shuffle your hand into your deck.  Then, draw a number of cards equal to the number of cards in your opponent's hand.",0.35,1.11,2.56,1.25,,Normal,,,,,,,
84501,Croconaw (#13),Croconaw 13,https://tcgplayer-cdn.tcgplayer.com/product/84501_200w.jpg,3,1540,https://cpt.tcgcsv.com/2QH,2023-12-20T15:52:07.26,1,13/30,Common,Water,,0.91,1.58,3.0,1.92,,Normal,80,Stage 1,[1W] Wave Splash (30),"[2W] Big Bite (50) 
<br>The Defending Pokemon can't retreat during your opponent's next turn.",Gx2,None,2
84502,Croconaw (#17),Croconaw 17,https://tcgplayer-cdn.tcgplayer.com/product/84502_200w.jpg,3,1540,https://cpt.tcgcsv.com/3QH,2023-12-20T15:54:50.323,1,17/30,Common,Water,,0.65,0.79,1.78,1.7,,Normal,80,Stage 1,[1W] Wave Splash (30),"[2W] Big Bite (50) 
<br>The Defending Pokemon can't retreat during your opponent's next turn.",Gx2,None,2
85260,Energy Switch (Gyarados),Energy Switch Gyarados,https://tcgplayer-cdn.tcgplayer.com/product/85260_200w.jpg,3,1540,https://cpt.tcgcsv.com/d7J,2023-12-20T18:11:07.3,1,21/30,Common,Item,Move a basic Energy card attached to 1 of your Pokemon to another of your Pokemon.,2.0,2.5,6.39,3.7,,Normal,,,,,,,
85261,Energy Switch (Raichu),Energy Switch Raichu,https://tcgplayer-cdn.tcgplayer.com/product/85261_200w.jpg,3,1540,https://cpt.tcgcsv.com/f7J,2023-12-20T19:38:25.373,1,29/30,Common,Item,Move a basic Energy card attached to 1 of your Pokemon to another of your Pokemon.,1.0,1.88,5.87,2.83,,Normal,,,,,,,
85483,Flaaffy (#3),Flaaffy 3,https://tcgplayer-cdn.tcgplayer.com/product/85483_200w.jpg,3,1540,https://cpt.tcgcsv.com/HcJ,2023-12-20T14:46:43.607,1,3/30,Common,Lightning,,0.86,1.34,1.84,1.93,,Normal,80,Stage 1,"[L] Thunder Spear 
<br>Choose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[2L] Thundershock (40)
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,M-20,1
85484,Flaaffy (#17),Flaaffy 17,https://tcgplayer-cdn.tcgplayer.com/product/85484_200w.jpg,3,1540,https://cpt.tcgcsv.com/JcJ,2023-12-20T15:55:04.72,1,17/30,Common,Lightning,,0.82,0.99,1.5,0.98,,Normal,80,Stage 1,"[L] Thunder Spear
<br>Choose 1 of your opponent's Pokemon.  This attack does 20 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>","[2L] Thundershock (40)
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,M-20,1
85997,Gyarados (#20 Non-Holo),Gyarados 20 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/85997_200w.jpg,3,1540,https://cpt.tcgcsv.com/ZpJ,2023-12-20T15:57:20.53,1,20/30,Common,Water,,1.89,6.87,9.19,7.1,,Normal,130,Stage 1,[2W] Hydro Splash (50),"[2WW] Hyper Beam (80) 
<br>Discard an Energy card attached to the Defending Pokemon.",Lx2,F-20,3
