productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance,extAttack3
489106,Code Card - 2022 World Championship Deck: Rikuto Ohashi (Ice Rider Palkia),Code Card 2022 World Championship Deck Rikuto Ohashi Ice Rider Palkia,https://tcgplayer-cdn.tcgplayer.com/product/489106_200w.jpg,3,2282,https://cpt.tcgcsv.com/8GW5,2023-06-16T18:02:58.633,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,1.0,1.0,1.0,,,Normal,,Code Card,,,,,,,,,
489108,Code Card - 2022 World Championship Deck: Sebastian Lashmet (Cheryl Again),Code Card 2022 World Championship Deck Sebastian Lashmet Cheryl Again,https://tcgplayer-cdn.tcgplayer.com/product/489108_200w.jpg,3,2282,https://cpt.tcgcsv.com/bGW5,2023-06-16T18:05:16.717,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,1.0,1.0,1.0,,,Normal,,Code Card,,,,,,,,,
491227,Code Card - Pokemon Celebrations Tin [Dark Sylveon V],Code Card Pokemon Celebrations Tin Dark Sylveon V,https://tcgplayer-cdn.tcgplayer.com/product/491227_200w.jpg,3,2282,https://cpt.tcgcsv.com/zvX5,2023-06-20T17:18:59.973,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,0.2,0.23,0.5,0.2,,Normal,,Code Card,,,,,,,,,
491228,Code Card - Pokemon Celebrations International Tin [Dark Sylveon V],Code Card Pokemon Celebrations International Tin Dark Sylveon V,https://tcgplayer-cdn.tcgplayer.com/product/491228_200w.jpg,3,2282,https://cpt.tcgcsv.com/BvX5,2023-06-20T18:46:58.747,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,Code Card,,,,,,,,,
491229,"Code Card - Enhanced 2-Pack Blister Pack [Articuno, Zapdos, & Moltres]",Code Card Enhanced 2 Pack Blister Pack Articuno Zapdos and Moltres,https://tcgplayer-cdn.tcgplayer.com/product/491229_200w.jpg,3,2282,https://cpt.tcgcsv.com/CvX5,2023-06-20T18:42:37.803,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,0.01,0.25,1.0,0.5,,Normal,,Code Card,,,,,,,,,
491230,Code Card - Double Crisis: Team Aqua Blister,Code Card Double Crisis Team Aqua Blister,https://tcgplayer-cdn.tcgplayer.com/product/491230_200w.jpg,3,2282,https://cpt.tcgcsv.com/DvX5,2023-06-20T17:20:14.553,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,Code Card,,,,,,,,,
491231,Code Card - Double Crisis: Team Magma Blister,Code Card Double Crisis Team Magma Blister,https://tcgplayer-cdn.tcgplayer.com/product/491231_200w.jpg,3,2282,https://cpt.tcgcsv.com/FvX5,2023-06-16T18:08:31.873,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,Code Card,,,,,,,,,
491232,Code Card - Dragon Majesty Pin Collection [Latios],Code Card Dragon Majesty Pin Collection Latios,https://tcgplayer-cdn.tcgplayer.com/product/491232_200w.jpg,3,2282,https://cpt.tcgcsv.com/GvX5,2023-06-16T18:58:34.157,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,2.15,2.15,2.15,,,Normal,,Code Card,,,,,,,,,
491234,Code Card - Dragon Majesty Pin Collection [Latias],Code Card Dragon Majesty Pin Collection Latias,https://tcgplayer-cdn.tcgplayer.com/product/491234_200w.jpg,3,2282,https://cpt.tcgcsv.com/JvX5,2023-06-16T18:58:53.077,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,2.0,2.0,2.0,,,Normal,,Code Card,,,,,,,,,
491236,Code Card - Ultra Necrozma GX Figure Collection,Code Card Ultra Necrozma GX Figure Collection,https://tcgplayer-cdn.tcgplayer.com/product/491236_200w.jpg,3,2282,https://cpt.tcgcsv.com/LvX5,2023-06-16T18:08:52.863,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,5.0,6.35,7.69,,,Normal,,Code Card,,,,,,,,,
