productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extRetreatCost,extAttack2,extResistance
86395,Kabutops,Kabutops,https://tcgplayer-cdn.tcgplayer.com/product/86395_200w.jpg,3,1374,https://cpt.tcgcsv.com/WzJ,2022-11-29T19:06:01.733,1,027/110,Rare,Fighting,60,Stage 2,[FF] Sharp Sickle (30),G,4.75,6.34,15.99,9.06,,Normal,,1,"[FFFF] Absorb (40)
<br>Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em> (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.",
86395,Kabutops,Kabutops,https://tcgplayer-cdn.tcgplayer.com/product/86395_200w.jpg,3,1374,https://cpt.tcgcsv.com/WzJ,2022-11-29T19:06:01.733,1,027/110,Rare,Fighting,60,Stage 2,[FF] Sharp Sickle (30),G,175.0,212.5,250.0,95.31,,Reverse Holofoil,,1,"[FFFF] Absorb (40)
<br>Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon <em>(after applying Weakness and Resistance)</em> (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.",
86404,Kadabra,Kadabra,https://tcgplayer-cdn.tcgplayer.com/product/86404_200w.jpg,3,1374,https://cpt.tcgcsv.com/6BJ,2022-11-29T19:07:56.023,1,049/110,Uncommon,Psychic,60,Stage 1,"[PP] Recover
<br>Discard 1 Psychic Energy card to use this attack. Remove all damage counters from Kadabra.",P,1.4,2.93,6.62,5.16,,Normal,,3,[1PP] Super Psy (50),
86404,Kadabra,Kadabra,https://tcgplayer-cdn.tcgplayer.com/product/86404_200w.jpg,3,1374,https://cpt.tcgcsv.com/6BJ,2022-11-29T19:07:56.023,1,049/110,Uncommon,Psychic,60,Stage 1,"[PP] Recover
<br>Discard 1 Psychic Energy card to use this attack. Remove all damage counters from Kadabra.",P,145.0,172.5,199.99,145.4,,Reverse Holofoil,,3,[1PP] Super Psy (50),
86409,Kakuna,Kakuna,https://tcgplayer-cdn.tcgplayer.com/product/86409_200w.jpg,3,1374,https://cpt.tcgcsv.com/cBJ,2022-11-29T19:09:17.803,1,050/110,Uncommon,Grass,80,Stage 1,"[2] Stiffen
<br>Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",R,0.55,1.25,3.0,1.26,2.05,Normal,,2,"[GG] Poisonpowder (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",
86409,Kakuna,Kakuna,https://tcgplayer-cdn.tcgplayer.com/product/86409_200w.jpg,3,1374,https://cpt.tcgcsv.com/cBJ,2022-11-29T19:09:17.803,1,050/110,Uncommon,Grass,80,Stage 1,"[2] Stiffen
<br>Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",R,51.91,99.0,99.0,51.91,,Reverse Holofoil,,2,"[GG] Poisonpowder (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",
86957,Machamp,Machamp,https://tcgplayer-cdn.tcgplayer.com/product/86957_200w.jpg,3,1374,https://cpt.tcgcsv.com/9PJ,2022-11-29T19:11:58.307,1,015/110,Holo Rare,Fighting,100,Stage 2,[1FFF] Seismic Toss (60),P,26.75,47.88,54.48,47.75,,Holofoil,"<strong>Pokémon Power: Strikes Back</strong> Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power can't be used if Machamp is already affected by a Special Condition when your opponent attacks.",3,,
86957,Machamp,Machamp,https://tcgplayer-cdn.tcgplayer.com/product/86957_200w.jpg,3,1374,https://cpt.tcgcsv.com/9PJ,2022-11-29T19:11:58.307,1,015/110,Holo Rare,Fighting,100,Stage 2,[1FFF] Seismic Toss (60),P,85.99,165.0,180.0,134.61,,Reverse Holofoil,"<strong>Pokémon Power: Strikes Back</strong> Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power can't be used if Machamp is already affected by a Special Condition when your opponent attacks.",3,,
86976,Machoke,Machoke,https://tcgplayer-cdn.tcgplayer.com/product/86976_200w.jpg,3,1374,https://cpt.tcgcsv.com/xPJ,2025-11-24T21:45:28.563,1,051/110,Uncommon,Fighting,80,Stage 1,"[1FF] Karate Chop (50-)
<br>Does 50 damage minus 10 for each damage counter on Machoke.",P,0.99,1.34,6.17,1.71,,Normal,,3,"[2FF] Submission (60)
<br>Machoke does 20 damage to itself.",
86976,Machoke,Machoke,https://tcgplayer-cdn.tcgplayer.com/product/86976_200w.jpg,3,1374,https://cpt.tcgcsv.com/xPJ,2025-11-24T21:45:28.563,1,051/110,Uncommon,Fighting,80,Stage 1,"[1FF] Karate Chop (50-)
<br>Does 50 damage minus 10 for each damage counter on Machoke.",P,50.0,60.0,85.0,56.49,,Reverse Holofoil,,3,"[2FF] Submission (60)
<br>Machoke does 20 damage to itself.",
