productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extCardText
85088,Eevee (48),Eevee 48,https://tcgplayer-cdn.tcgplayer.com/product/85088_200w.jpg,3,1403,https://cpt.tcgcsv.com/N2J,2025-11-11T05:12:39.7,1,48/90,Common,Colorless,50,Basic,[1] Call for Family - Search your deck for a Basic Pokemon and put it onto your Bench.  Shuffle your deck afterward.,0.6,1.81,29.99,2.02,,Normal,"[2] Tickle (10) Flip a coin.  If heads, the Defending Pokemon is Paralyzed.",Fx2,,1,
85088,Eevee (48),Eevee 48,https://tcgplayer-cdn.tcgplayer.com/product/85088_200w.jpg,3,1403,https://cpt.tcgcsv.com/N2J,2025-11-11T05:12:39.7,1,48/90,Common,Colorless,50,Basic,[1] Call for Family - Search your deck for a Basic Pokemon and put it onto your Bench.  Shuffle your deck afterward.,9.0,21.0,24.25,25.0,,Reverse Holofoil,"[2] Tickle (10) Flip a coin.  If heads, the Defending Pokemon is Paralyzed.",Fx2,,1,
85212,Energy Exchanger,Energy Exchanger,https://tcgplayer-cdn.tcgplayer.com/product/85212_200w.jpg,3,1403,https://cpt.tcgcsv.com/g6J,2025-11-11T05:11:45.807,1,73/90,Uncommon,Item,0,Trainer,"Chose an Energy Card from your hand, show it to your opponent, and put it on top of your deck.  Search your deck for an Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.09,0.29,1.49,0.3,,Normal,,,,,
85212,Energy Exchanger,Energy Exchanger,https://tcgplayer-cdn.tcgplayer.com/product/85212_200w.jpg,3,1403,https://cpt.tcgcsv.com/g6J,2025-11-11T05:11:45.807,1,73/90,Uncommon,Item,0,Trainer,"Chose an Energy Card from your hand, show it to your opponent, and put it on top of your deck.  Search your deck for an Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",0.25,0.55,2.67,0.94,,Reverse Holofoil,,,,,
85322,Espeon,Espeon,https://tcgplayer-cdn.tcgplayer.com/product/85322_200w.jpg,3,1403,https://cpt.tcgcsv.com/s8J,2023-12-12T19:12:03.173,1,2/90,Holo Rare,Psychic,90,Stage 1,[P] Solar Suggestion - Move up to 4 damage counters from any of your Pokemon to any of your opponent's Pokemon in any way you like.,44.83,49.99,58.65,44.05,,Holofoil,"[1P] Psybeam (30) Flip a coin.  If heads, the Defending Pokemon is now Confused.",Px2,,1,
85322,Espeon,Espeon,https://tcgplayer-cdn.tcgplayer.com/product/85322_200w.jpg,3,1403,https://cpt.tcgcsv.com/s8J,2023-12-12T19:12:03.173,1,2/90,Holo Rare,Psychic,90,Stage 1,[P] Solar Suggestion - Move up to 4 damage counters from any of your Pokemon to any of your opponent's Pokemon in any way you like.,41.0,63.49,215.99,24.89,,Reverse Holofoil,"[1P] Psybeam (30) Flip a coin.  If heads, the Defending Pokemon is now Confused.",Px2,,1,
85323,Espeon (Prime),Espeon Prime,https://tcgplayer-cdn.tcgplayer.com/product/85323_200w.jpg,3,1403,https://cpt.tcgcsv.com/t8J,2023-04-10T14:40:10.26,1,81/90,Ultra Rare,Psychic,100,Stage 1,[1P] Solar Ray (30) Remove 1 damage counter from each of your Pokemon.,109.0,129.34,349.99,154.44,,Holofoil,,Px2,,1,Evolution Memories - Espeon can use the attacks of all Pokemon you have in play that evolve from Eevee as its own.  (You still need the necessary Energy to use each attack.)  (Poke-BODY)
85498,Flareon,Flareon,https://tcgplayer-cdn.tcgplayer.com/product/85498_200w.jpg,3,1403,https://cpt.tcgcsv.com/-cJ,2023-04-10T13:56:25.177,1,26/90,Uncommon,Fire,90,Stage 1,[1] Flame Tail (30),6.23,8.99,29.99,8.04,,Normal,[1RR] Flamethrower (90) Discard an Energy attached to Flareon.,Wx2,,1,
85498,Flareon,Flareon,https://tcgplayer-cdn.tcgplayer.com/product/85498_200w.jpg,3,1403,https://cpt.tcgcsv.com/-cJ,2023-04-10T13:56:25.177,1,26/90,Uncommon,Fire,90,Stage 1,[1] Flame Tail (30),15.7,21.01,44.06,31.4,,Reverse Holofoil,[1RR] Flamethrower (90) Discard an Energy attached to Flareon.,Wx2,,1,
85519,Flower Shop Lady,Flower Shop Lady,https://tcgplayer-cdn.tcgplayer.com/product/85519_200w.jpg,3,1403,https://cpt.tcgcsv.com/pdJ,2023-04-10T14:29:16.903,1,74/90,Uncommon,Supporter,0,Supporter,Search your discard pile for 3 Pokemon and 3 basic Energy cards.  Show them to your opponent and shuffle them into your deck.,0.8,1.63,10.15,1.64,,Normal,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
85519,Flower Shop Lady,Flower Shop Lady,https://tcgplayer-cdn.tcgplayer.com/product/85519_200w.jpg,3,1403,https://cpt.tcgcsv.com/pdJ,2023-04-10T14:29:16.903,1,74/90,Uncommon,Supporter,0,Supporter,Search your discard pile for 3 Pokemon and 3 basic Energy cards.  Show them to your opponent and shuffle them into your deck.,2.75,5.0,7.99,5.75,,Reverse Holofoil,,,,,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card."
85551,Forretress (3),Forretress 3,https://tcgplayer-cdn.tcgplayer.com/product/85551_200w.jpg,3,1403,https://cpt.tcgcsv.com/2fJ,2025-12-11T03:45:25.257,1,3/90,Holo Rare,Metal,90,Stage 1,"[1M] Mirror Shot (30) If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",1.5,3.29,5.59,3.33,,Holofoil,[2M] Everyone Explode Now (30x) Does 30 damage times the number of Pineco and Forretress you have in play.  This attack does 30 damage to each of your Pineco and Forretress in play.,Rx2,P-20,3,
85551,Forretress (3),Forretress 3,https://tcgplayer-cdn.tcgplayer.com/product/85551_200w.jpg,3,1403,https://cpt.tcgcsv.com/2fJ,2025-12-11T03:45:25.257,1,3/90,Holo Rare,Metal,90,Stage 1,"[1M] Mirror Shot (30) If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",1.1,1.78,4.99,1.62,1.3,Reverse Holofoil,[2M] Everyone Explode Now (30x) Does 30 damage times the number of Pineco and Forretress you have in play.  This attack does 30 damage to each of your Pineco and Forretress in play.,Rx2,P-20,3,
85552,Forretress (13),Forretress 13,https://tcgplayer-cdn.tcgplayer.com/product/85552_200w.jpg,3,1403,https://cpt.tcgcsv.com/3fJ,2023-04-10T13:53:59.687,1,13/90,Rare,Metal,80,Stage 1,[M] Spread Spike - This attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),0.38,0.63,2.99,0.67,,Normal,"[1M] Gyro Ball (30) You may switch Forretress with 1 of your Benched Pokemon.  If you do, your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.",Rx2,P-20,2,
85552,Forretress (13),Forretress 13,https://tcgplayer-cdn.tcgplayer.com/product/85552_200w.jpg,3,1403,https://cpt.tcgcsv.com/3fJ,2023-04-10T13:53:59.687,1,13/90,Rare,Metal,80,Stage 1,[M] Spread Spike - This attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),2.13,4.29,18.0,4.82,,Reverse Holofoil,"[1M] Gyro Ball (30) You may switch Forretress with 1 of your Benched Pokemon.  If you do, your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.",Rx2,P-20,2,
85768,Gligar,Gligar,https://tcgplayer-cdn.tcgplayer.com/product/85768_200w.jpg,3,1403,https://cpt.tcgcsv.com/nkJ,2023-04-10T14:00:05.463,1,49/90,Common,Fighting,70,Basic,"[1F] Stun Poison (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed and Poisoned.",0.11,0.31,2.53,0.34,0.23,Normal,,Wx2,L-20,1,
85768,Gligar,Gligar,https://tcgplayer-cdn.tcgplayer.com/product/85768_200w.jpg,3,1403,https://cpt.tcgcsv.com/nkJ,2023-04-10T14:00:05.463,1,49/90,Common,Fighting,70,Basic,"[1F] Stun Poison (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed and Poisoned.",0.75,2.19,3.53,1.25,,Reverse Holofoil,,Wx2,L-20,1,
