productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extResistance,extAttack2
153097,Munchlax - 68/100,Munchlax 68 100,https://tcgplayer-cdn.tcgplayer.com/product/153097_200w.jpg,3,2155,https://cpt.tcgcsv.com/Zff2,2022-09-21T19:46:24.453,1,068/100,Promo,Colorless,60,Basic,"<strong>Poké-POWER — Baby Evolution</strong>
<br>Once during your turn <em>(before your attack)</em>, you may put Snorlax from your hand onto Munchlax (this counts as evolving Munchlax) and remove all damage counters from Munchlax.","[2] Lick (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",F+10,2,199.0,199.0,199.0,3.5,,Normal,,
153100,Pikachu - DP16,Pikachu DP16,https://tcgplayer-cdn.tcgplayer.com/product/153100_200w.jpg,3,2155,https://cpt.tcgcsv.com/0gf2,2022-08-11T19:22:39.777,1,DP16,Promo,Lightning,60,Basic,"<strong>Poké-POWER — Electro Recycle</strong>
<br>Once during your turn <em>(before your attack)</em>, if Pichu is anywhere under Pikachu, you may search your discard pile for a Lightning Energy card, show it to your opponent, and put it into your hand. This power can't be used if Pikachu is affected by a Special Condition.
<br>
<em>(Unlike the other Countdown Calendar Promos, this special Pikachu is Holofoil with a silver snowflake stamp in the lower right of the card's art.)</em>","[1L] BikaBika (20+)
<br>Flip a coin. If heads, this attack does 20 damage plus 10 more damage.",F+10,1,170.0,187.5,205.0,110.0,,Holofoil,M-20,
153102,Piplup - 72/100,Piplup 72 100,https://tcgplayer-cdn.tcgplayer.com/product/153102_200w.jpg,3,2155,https://cpt.tcgcsv.com/3gf2,2022-09-21T19:46:43.577,1,072/100,Promo,Water,50,Basic,"<strong>Held Item — Pecha Berry</strong> <em>If Piplup is Poisoned, remove the Special Condition Poisoned from Piplup at the end of each player's turn.</em>","[W] Splatter
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.",L+10,1,88.88,88.88,88.88,2.0,,Normal,,
153104,Riolu - 61/130,Riolu 61 130,https://tcgplayer-cdn.tcgplayer.com/product/153104_200w.jpg,3,2155,https://cpt.tcgcsv.com/6gf2,2022-09-21T19:46:52.313,1,061/130,Promo,Fighting,60,Basic,,"[F] Wild Kick (30)
<br>Flip a coin. If tails, this attack does nothing.",P+10,1,,,,,,,,
153105,Shinx - 98/123,Shinx 98 123,https://tcgplayer-cdn.tcgplayer.com/product/153105_200w.jpg,3,2155,https://cpt.tcgcsv.com/7gf2,2022-09-21T19:47:11.87,1,098/123,Promo,Lightning,60,Basic,"<strong>Held Item — Rawst Berry</strong> <em>If Shinx is Burned, remoced the Special Condition Burned from Shinx at the end of each player's turn.</em>","[L] Plasma (10)
<br>Flip a coin. If heads, search your discard pile for a Lightning Energy card and attach it to Shinx.",F+10,1,69.0,72.5,150.0,70.0,,Normal,M-20,
153106,Skorupi - 99/130,Skorupi 99 130,https://tcgplayer-cdn.tcgplayer.com/product/153106_200w.jpg,3,2155,https://cpt.tcgcsv.com/8gf2,2022-09-21T19:47:22.703,1,099/130,Promo,Psychic,60,Basic,,"[P] Poison Sting 
<br>Flip a coin. If heads, the Defending Pokémon is now Poisoned.",P+10,2,200.0,247.0,294.0,,,Normal,,"[2] Pin Missile (10x)
<br>Flip 4 coins. This attack does 10 damage times the number of heads."
153107,Snover - 101/123,Snover 101 123,https://tcgplayer-cdn.tcgplayer.com/product/153107_200w.jpg,3,2155,https://cpt.tcgcsv.com/9gf2,2025-12-08T23:43:27.863,1,101/123,Promo,Grass,60,Basic,,"[0] Curiosity
<br>Look at your opponent's hand.",R+10,2,150.0,175.0,200.0,19.95,,Normal,,"[1W] Snowball Fight (30)
<br>Flip a coin. If tails, Snover does 10 damage to itself."
153108,Stunky - 102/130,Stunky 102 130,https://tcgplayer-cdn.tcgplayer.com/product/153108_200w.jpg,3,2155,https://cpt.tcgcsv.com/bgf2,2022-08-11T19:43:25.21,1,102/130,Promo,Darkness,60,Basic,,[1] Scratch (10),F+10,1,28.0,73.58,150.0,50.0,,Normal,P-20,"[1D] Severe Gas (10)
<br>The Defending Pokémon is now Poisoned."
153109,Turtwig - 78/100,Turtwig 78 100,https://tcgplayer-cdn.tcgplayer.com/product/153109_200w.jpg,3,2155,https://cpt.tcgcsv.com/cgf2,2022-09-21T19:48:22.61,1,078/100,Promo,Grass,60,Basic,"<strong>Held Item — Persim Berry</strong> <em>If Turtwig is Confused, remove the Special Condition Confused from Turtwig at the end of each player's turn.</em>",[1G] Bite (30),R+10,2,,,,,,,W-20,
153110,Weavile - 40/132,Weavile 40 132,https://tcgplayer-cdn.tcgplayer.com/product/153110_200w.jpg,3,2155,https://cpt.tcgcsv.com/dgf2,2022-09-21T19:48:30.323,1,040/132,Promo,Water,80,Stage 1,"<strong>Poké-POWER — Dark Engage</strong>
<br>Once during your turn <em>(before your attack)</em>, you may use this power. Each of your Active Pokémon's type is Darkness until end of your turn. If that Pokémon is no longer your Active Pokémon, this effect ends.","[0] Shadow Charge
<br>Search your deck for up to 2 Darkness Energy cards and attach them to any of your Pokémon in any way you like. Shuffle your deck afterward.",M+20,0,22.5,45.0,150.0,26.78,,Normal,,"[DD] Chip Off (40)
<br>If your opponent has 6 or more cards in his or her hand, discard a number of cards without looking until your opponent has 5 cards left in his or her hand."
