productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extUPC
83603,Arceus Lv.X (95),Arceus LvX 95,https://tcgplayer-cdn.tcgplayer.com/product/83603_200w.jpg,3,1391,https://cpt.tcgcsv.com/5sH,2023-11-14T21:50:30.943,1,95/99,Ultra Rare,Colorless,120,Level Up,Multitype - Arceus LV.X's type is the same type as its previous Level.  (Poke-BODY),"[1GR] Meteor Blast (100) Flip a coin.  If tails, this attack's base damage is 50 instead of 100.",,,1,60.0,61.25,72.99,64.96,61.25,Holofoil,,,
83604,Arceus Lv.X (96),Arceus LvX 96,https://tcgplayer-cdn.tcgplayer.com/product/83604_200w.jpg,3,1391,https://cpt.tcgcsv.com/6sH,2023-11-14T21:50:36.183,1,96/99,Ultra Rare,Colorless,120,Level Up,Multitype - Arceus LV.X's type is the same type as its previous Level.  (Poke-BODY),[1LP] Psychic Bolt (100) Discard a L Energy and a P Energy attached to Arceus.,,,1,33.99,40.73,69.5,39.1,,Holofoil,,,
83699,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83699_200w.jpg,3,1391,https://cpt.tcgcsv.com/_tH,2023-11-14T21:43:24.71,1,52/99,Common,Colorless,60,Basic,,[1] Smash Kick (10),C+10,,1,0.09,0.33,1.25,0.38,,Normal,"[1R] Super Singe (20) Flip a coin.  If heads, the Defending Pokemon is now Burned.",,
83699,Bagon,Bagon,https://tcgplayer-cdn.tcgplayer.com/product/83699_200w.jpg,3,1391,https://cpt.tcgcsv.com/_tH,2023-11-14T21:43:24.71,1,52/99,Common,Colorless,60,Basic,,[1] Smash Kick (10),C+10,,1,1.0,1.33,39.98,1.06,,Reverse Holofoil,"[1R] Super Singe (20) Flip a coin.  If heads, the Defending Pokemon is now Burned.",,
83700,Bagon (Shiny),Bagon Shiny,https://tcgplayer-cdn.tcgplayer.com/product/83700_200w.jpg,3,1391,https://cpt.tcgcsv.com/0vH,2021-10-22T18:14:51.48,1,SH10,Shiny Holo Rare,Colorless,50,Basic,"<strong>Poke-BODY — Star Barrier<strong>
<br>As long as Bagon has any Energy attached to it, Bagon has no Weakness.","[1] Dragon Rage (40) 
<br>Flip 2 coins.  If either of them is tails, this attack does nothing.",C+10,None,1,79.99,88.46,96.93,69.94,,Reverse Holofoil,,,
83776,Beedrill G,Beedrill G,https://tcgplayer-cdn.tcgplayer.com/product/83776_200w.jpg,3,1391,https://cpt.tcgcsv.com/xwH,2025-11-11T21:04:14.263,1,53/99,Common,Grass,80,Basic,,"[G] Raid (10) If you played Beedrill G from your hand during this turn, this attack's base damage is 40 instead of 10.",Rx2,,1,0.08,0.42,19.5,0.42,0.3,Normal,[2G] Fury Attack (30x) Flip 3 coins.  This attack does 30 damage times the number of heads.,,
83776,Beedrill G,Beedrill G,https://tcgplayer-cdn.tcgplayer.com/product/83776_200w.jpg,3,1391,https://cpt.tcgcsv.com/xwH,2025-11-11T21:04:14.263,1,53/99,Common,Grass,80,Basic,,"[G] Raid (10) If you played Beedrill G from your hand during this turn, this attack's base damage is 40 instead of 10.",Rx2,,1,2.0,2.0,2.29,1.9,,Reverse Holofoil,[2G] Fury Attack (30x) Flip 3 coins.  This attack does 30 damage times the number of heads.,,
83777,Beginning Door,Beginning Door,https://tcgplayer-cdn.tcgplayer.com/product/83777_200w.jpg,3,1391,https://cpt.tcgcsv.com/zwH,2024-07-26T16:09:05.097,1,82/99,Uncommon,Item,0,Trainer,,"Search your deck for Arceus, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,,,0.15,0.4,2.4,0.53,,Normal,,,
83777,Beginning Door,Beginning Door,https://tcgplayer-cdn.tcgplayer.com/product/83777_200w.jpg,3,1391,https://cpt.tcgcsv.com/zwH,2024-07-26T16:09:05.097,1,82/99,Uncommon,Item,0,Trainer,,"Search your deck for Arceus, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,,,0.98,1.56,2.14,2.04,,Reverse Holofoil,,,
83811,Bench Shield,Bench Shield,https://tcgplayer-cdn.tcgplayer.com/product/83811_200w.jpg,3,1391,https://cpt.tcgcsv.com/fxH,2024-04-23T17:55:54.86,1,83/99,Uncommon,Item,0,Tool,"Attach Bench Shield to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","As long as the Pokemon this card is attached to is on your Bench, prevent all damage done to that Pokemon by attacks (both yours and your opponent's).",,,,0.15,0.35,2.26,0.38,,Normal,,,
83811,Bench Shield,Bench Shield,https://tcgplayer-cdn.tcgplayer.com/product/83811_200w.jpg,3,1391,https://cpt.tcgcsv.com/fxH,2024-04-23T17:55:54.86,1,83/99,Uncommon,Item,0,Tool,"Attach Bench Shield to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","As long as the Pokemon this card is attached to is on your Bench, prevent all damage done to that Pokemon by attacks (both yours and your opponent's).",,,,0.35,0.75,5.0,0.89,,Reverse Holofoil,,,
83995,Bronzong (14),Bronzong 14,https://tcgplayer-cdn.tcgplayer.com/product/83995_200w.jpg,3,1391,https://cpt.tcgcsv.com/WCH,2023-11-14T21:31:04.603,1,14/99,Rare,Metal,90,Stage 1,,[1M] Oracle Arrow - Choose 1 of your opponent's Pokemon that has any damage counters on it.  This attack does 40 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),R+20,P-20,3,0.25,0.62,2.56,0.43,,Normal,[2M] Antigravity (60) The Retreat Cost for Bronzong is 0 until the end of your next turn.,,
83995,Bronzong (14),Bronzong 14,https://tcgplayer-cdn.tcgplayer.com/product/83995_200w.jpg,3,1391,https://cpt.tcgcsv.com/WCH,2023-11-14T21:31:04.603,1,14/99,Rare,Metal,90,Stage 1,,[1M] Oracle Arrow - Choose 1 of your opponent's Pokemon that has any damage counters on it.  This attack does 40 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),R+20,P-20,3,0.45,1.0,2.79,0.87,,Reverse Holofoil,[2M] Antigravity (60) The Retreat Cost for Bronzong is 0 until the end of your next turn.,,
83996,Bronzong (33),Bronzong 33,https://tcgplayer-cdn.tcgplayer.com/product/83996_200w.jpg,3,1391,https://cpt.tcgcsv.com/XCH,2025-11-11T21:03:43.103,1,33/99,Uncommon,Metal,90,Stage 1,,[M] Wide Laser - This attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),R+20,P-20,3,0.1,0.35,2.35,0.35,0.39,Normal,"[3] Hyper Beam (50) Flip a coin.  If heads, discard an Energy card attached to the Defending Pokemon.",,
83996,Bronzong (33),Bronzong 33,https://tcgplayer-cdn.tcgplayer.com/product/83996_200w.jpg,3,1391,https://cpt.tcgcsv.com/XCH,2025-11-11T21:03:43.103,1,33/99,Uncommon,Metal,90,Stage 1,,[M] Wide Laser - This attack does 10 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),R+20,P-20,3,0.45,0.99,2.64,0.98,0.45,Reverse Holofoil,"[3] Hyper Beam (50) Flip a coin.  If heads, discard an Energy card attached to the Defending Pokemon.",,
