productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extCardType
84167,Chandelure (Team Plasma),Chandelure Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84167_200w.jpg,3,1382,https://cpt.tcgcsv.com/mHH,2023-01-10T15:54:32.243,1,16/116,Holo Rare,130,Stage 2,[1RR] Absorb Life (70) Heal 30 damage from this Pokemon.,,Wx2,,2,2.99,4.44,19.99,4.21,19.99,Holofoil,"Flare Navigate - Once during your turn (before your attack), you may search your deck for a R Energy card and attach it to 1 of your Pokemon.  If you do, put 1 damage counter on that Pokemon.  Shuffle your deck afterward.  (Ability)",
84167,Chandelure (Team Plasma),Chandelure Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84167_200w.jpg,3,1382,https://cpt.tcgcsv.com/mHH,2023-01-10T15:54:32.243,1,16/116,Holo Rare,130,Stage 2,[1RR] Absorb Life (70) Heal 30 damage from this Pokemon.,,Wx2,,2,3.29,6.13,7.21,7.21,,Reverse Holofoil,"Flare Navigate - Once during your turn (before your attack), you may search your deck for a R Energy card and attach it to 1 of your Pokemon.  If you do, put 1 damage counter on that Pokemon.  Shuffle your deck afterward.  (Ability)",
84312,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84312_200w.jpg,3,1382,https://cpt.tcgcsv.com/gLH,2023-01-10T15:59:31.067,1,35/116,Common,70,Basic,[1L] Static Shock (20),,Fx2,,2,0.05,0.25,1.49,0.22,,Normal,,
84312,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84312_200w.jpg,3,1382,https://cpt.tcgcsv.com/gLH,2023-01-10T15:59:31.067,1,35/116,Common,70,Basic,[1L] Static Shock (20),,Fx2,,2,0.28,0.55,2.0,0.73,,Reverse Holofoil,,
84387,Cofagrigus (Team Plasma) (56),Cofagrigus Team Plasma 56,https://tcgplayer-cdn.tcgplayer.com/product/84387_200w.jpg,3,1382,https://cpt.tcgcsv.com/MMH,2023-03-23T12:50:19.49,1,56/116,Holo Rare,100,Stage 1,"[1PP] Slap of Misfortune (70) Whenever your opponent flips a coin during his or here next turn, treat it as tails.",,Dx2,,2,1.3,3.79,9.99,4.77,,Holofoil,"Six Feet Under - Once during your turn (before your attack), you may Knock Out this Pokemon.  If you do, put 3 damage counters on your opponent's Pokemon in any way you like.  (Ability)",
84387,Cofagrigus (Team Plasma) (56),Cofagrigus Team Plasma 56,https://tcgplayer-cdn.tcgplayer.com/product/84387_200w.jpg,3,1382,https://cpt.tcgcsv.com/MMH,2023-03-23T12:50:19.49,1,56/116,Holo Rare,100,Stage 1,"[1PP] Slap of Misfortune (70) Whenever your opponent flips a coin during his or here next turn, treat it as tails.",,Dx2,,2,2.1,6.99,990.0,8.19,,Reverse Holofoil,"Six Feet Under - Once during your turn (before your attack), you may Knock Out this Pokemon.  If you do, put 3 damage counters on your opponent's Pokemon in any way you like.  (Ability)",
84388,Cofagrigus (Team Plasma) (57),Cofagrigus Team Plasma 57,https://tcgplayer-cdn.tcgplayer.com/product/84388_200w.jpg,3,1382,https://cpt.tcgcsv.com/NMH,2023-01-10T16:03:32.237,1,57/116,Rare,100,Stage 1,[1] Elongating Arms - This attack does 30 damage to 1 of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2P] Crazy Slap (40x) Flip 4 coins.  This attack does 40 damage times the number of heads.,Dx2,,2,0.5,1.24,3.75,1.43,,Normal,,
84388,Cofagrigus (Team Plasma) (57),Cofagrigus Team Plasma 57,https://tcgplayer-cdn.tcgplayer.com/product/84388_200w.jpg,3,1382,https://cpt.tcgcsv.com/NMH,2023-01-10T16:03:32.237,1,57/116,Rare,100,Stage 1,[1] Elongating Arms - This attack does 30 damage to 1 of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2P] Crazy Slap (40x) Flip 4 coins.  This attack does 40 damage times the number of heads.,Dx2,,2,1.99,3.84,10.0,4.83,,Reverse Holofoil,,
84515,Cryogonal (Team Plasma),Cryogonal Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84515_200w.jpg,3,1382,https://cpt.tcgcsv.com/kQH,2025-12-04T05:34:56.003,1,30/116,Uncommon,80,Basic,"[1] Call Sign - Search your deck for a W Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward.",[W] Cryofreeze (10) Discard an Energy attached to this Pokemon.  The Defending Pokemon can't attack during your opponent's next turn.,Mx2,,1,0.09,0.34,2.24,0.34,0.19,Normal,,
84515,Cryogonal (Team Plasma),Cryogonal Team Plasma,https://tcgplayer-cdn.tcgplayer.com/product/84515_200w.jpg,3,1382,https://cpt.tcgcsv.com/kQH,2025-12-04T05:34:56.003,1,30/116,Uncommon,80,Basic,"[1] Call Sign - Search your deck for a W Pokemon, reveal it, and put it into your hand.  Shuffle your deck afterward.",[W] Cryofreeze (10) Discard an Energy attached to this Pokemon.  The Defending Pokemon can't attack during your opponent's next turn.,Mx2,,1,0.84,2.0,10.0,2.01,,Reverse Holofoil,,
