productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extAttack2,extResistance
599460,Darkness Energy (2023),Darkness Energy 2023,https://tcgplayer-cdn.tcgplayer.com/product/599460_200w.jpg,3,2332,https://cpt.tcgcsv.com/dPP6,2024-11-22T21:25:32.433,1,007,Promo,Energy,17.99,19.99,32.4,14.96,,Holofoil,,,,,,,,
604494,Darkness Energy (2024),Darkness Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604494_200w.jpg,3,2332,https://cpt.tcgcsv.com/VPR6,2024-12-11T21:14:03.487,0,007,Promo,Energy,7.97,11.93,40.0,10.31,,Holofoil,,,,,,,,
604495,Metal Energy (2024),Metal Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604495_200w.jpg,3,2332,https://cpt.tcgcsv.com/WPR6,2024-12-11T21:14:54.677,0,008,Promo,Energy,4.99,9.6,40.0,7.87,,Holofoil,,,,,,,,
604496,Water Energy (2024),Water Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604496_200w.jpg,3,2332,https://cpt.tcgcsv.com/XPR6,2024-12-11T21:15:17.99,0,003,Promo,Energy,8.16,9.5,40.0,9.57,,Holofoil,,,,,,,,
604497,Psychic Energy (2024),Psychic Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604497_200w.jpg,3,2332,https://cpt.tcgcsv.com/ZPR6,2024-12-11T21:15:50.073,0,005,Promo,Energy,10.29,12.3,40.3,11.72,,Holofoil,,,,,,,,
604498,Lightning Energy (2024),Lightning Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604498_200w.jpg,3,2332,https://cpt.tcgcsv.com/-PR6,2024-12-11T21:16:11.597,0,004,Promo,Energy,4.99,8.06,40.0,6.41,,Normal,,,,,,,,
604499,Grass Energy (2024),Grass Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604499_200w.jpg,3,2332,https://cpt.tcgcsv.com/_PR6,2024-12-11T21:16:37.167,0,001,Promo,Energy,4.29,9.2,40.0,5.35,,Holofoil,,,,,,,,
604500,Fire Energy (2024),Fire Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604500_200w.jpg,3,2332,https://cpt.tcgcsv.com/0QR6,2024-12-11T21:17:00.05,0,002,Promo,Energy,4.39,7.9,40.0,5.8,,Holofoil,,,,,,,,
604501,Fighting Energy (2024),Fighting Energy 2024,https://tcgplayer-cdn.tcgplayer.com/product/604501_200w.jpg,3,2332,https://cpt.tcgcsv.com/2QR6,2024-12-11T21:17:22.593,0,006,Promo,Energy,4.99,10.81,40.0,7.77,,Holofoil,,,,,,,,
617018,Voltorb - 100/165,Voltorb 100 165,https://tcgplayer-cdn.tcgplayer.com/product/617018_200w.jpg,3,2332,https://cpt.tcgcsv.com/nQX6,2025-02-05T16:35:46.99,1,100/165,Common,Lightning,,,,,,,,60,Basic,"[L] Tumbling Attack (10+)
<br>Flip a coin. If heads, this attack does 20 more damage.",Fx2,1,,
651981,Voltorb - 066/193,Voltorb 066 193,https://tcgplayer-cdn.tcgplayer.com/product/651981_200w.jpg,3,2332,https://cpt.tcgcsv.com/FPd7,2025-09-03T14:27:16.88,0,066/193,Common,Lightning,,,,,,,,70,Basic,[L] Lightning Ball (10),Fx2,1,[2] Rollout (20),None
670606,Friends in Paldea - 109/131,Friends in Paldea 109 131,https://tcgplayer-cdn.tcgplayer.com/product/670606_200w.jpg,3,2332,https://cpt.tcgcsv.com/8gn7,2025-12-29T14:24:29.913,1,109/131,Common,Trainer - Supporter,,,,,,,Draw 3 cards.,,,,,,,
677790,Roseanne's Backup,Roseannes Backup,https://tcgplayer-cdn.tcgplayer.com/product/677790_200w.jpg,3,2332,https://cpt.tcgcsv.com/Q7r7,2026-02-09T18:32:37.377,1,148/172,Uncommon,Supporter,,,,,,,"Choose 1 or more:
<br>• Shuffle a Pokemon from your discard pile into your deck.
<br>• Shuffle a Pokemon Tool card from your discard pile into your deck.
<br>• Shuffle a Stadium card from your discard pile into your deck.
<br>• Shuffle an Energy card from your discard pile into your deck.",,,,,,,
