productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance,extCardText
232323,Grookey - 8/25,Grookey 8 25,https://tcgplayer-cdn.tcgplayer.com/product/232323_200w.jpg,3,2782,https://cpt.tcgcsv.com/tXS2,2025-10-31T19:09:37.127,1,008/025,Promo,Grass,60,Basic,[1G] Branch Poke (30),Rx2,1,0.15,1.05,5.99,1.02,0.73,Holofoil,,,
232323,Grookey - 8/25,Grookey 8 25,https://tcgplayer-cdn.tcgplayer.com/product/232323_200w.jpg,3,2782,https://cpt.tcgcsv.com/tXS2,2025-10-31T19:09:37.127,1,008/025,Promo,Grass,60,Basic,[1G] Branch Poke (30),Rx2,1,0.09,0.31,2.56,0.22,0.19,Normal,,,
232324,Charmander - 9/25,Charmander 9 25,https://tcgplayer-cdn.tcgplayer.com/product/232324_200w.jpg,3,2782,https://cpt.tcgcsv.com/vXS2,2025-10-31T19:09:35.823,1,009/025,Promo,Fire,70,Basic,[1] Scratch (10),Wx2,1,1.6,3.54,96.95,3.21,3.22,Holofoil,[1R] Flame Tail (20),,
232324,Charmander - 9/25,Charmander 9 25,https://tcgplayer-cdn.tcgplayer.com/product/232324_200w.jpg,3,2782,https://cpt.tcgcsv.com/vXS2,2025-10-31T19:09:35.823,1,009/025,Promo,Fire,70,Basic,[1] Scratch (10),Wx2,1,0.25,0.72,19.5,0.71,1.53,Normal,[1R] Flame Tail (20),,
232325,Cyndaquil - 10/25,Cyndaquil 10 25,https://tcgplayer-cdn.tcgplayer.com/product/232325_200w.jpg,3,2782,https://cpt.tcgcsv.com/wXS2,2025-11-25T02:43:30.513,1,010/025,Promo,Fire,70,Basic,[2] Hammer In (30),Wx2,1,0.25,1.96,46.25,1.81,0.8,Holofoil,,,
232325,Cyndaquil - 10/25,Cyndaquil 10 25,https://tcgplayer-cdn.tcgplayer.com/product/232325_200w.jpg,3,2782,https://cpt.tcgcsv.com/wXS2,2025-11-25T02:43:30.513,1,010/025,Promo,Fire,70,Basic,[2] Hammer In (30),Wx2,1,0.1,0.41,2.56,0.38,0.23,Normal,,,
232326,Torchic - 11/25,Torchic 11 25,https://tcgplayer-cdn.tcgplayer.com/product/232326_200w.jpg,3,2782,https://cpt.tcgcsv.com/xXS2,2025-10-31T19:09:35.587,1,011/025,Promo,Fire,60,Basic,"[R] Ember (20)
<br> Flip a coin. If tails, discard a Fire Energy attached to this Pokémon.",Wx2,1,0.6,1.43,5.0,1.41,,Holofoil,,,
232326,Torchic - 11/25,Torchic 11 25,https://tcgplayer-cdn.tcgplayer.com/product/232326_200w.jpg,3,2782,https://cpt.tcgcsv.com/xXS2,2025-10-31T19:09:35.587,1,011/025,Promo,Fire,60,Basic,"[R] Ember (20)
<br> Flip a coin. If tails, discard a Fire Energy attached to this Pokémon.",Wx2,1,0.18,0.47,2.66,0.38,0.25,Normal,,,
232327,Chimchar - 12/25,Chimchar 12 25,https://tcgplayer-cdn.tcgplayer.com/product/232327_200w.jpg,3,2782,https://cpt.tcgcsv.com/zXS2,2025-10-31T19:09:36.94,1,012/025,Promo,Fire,60,Basic,"[1] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage for each heads.",Wx2,1,0.75,1.23,5.99,1.08,,Holofoil,,,
232327,Chimchar - 12/25,Chimchar 12 25,https://tcgplayer-cdn.tcgplayer.com/product/232327_200w.jpg,3,2782,https://cpt.tcgcsv.com/zXS2,2025-10-31T19:09:36.94,1,012/025,Promo,Fire,60,Basic,"[1] Fury Swipes (10x)
<br>Flip 3 coins. This attack does 10 damage for each heads.",Wx2,1,0.2,0.4,5.0,0.36,0.25,Normal,,,
