productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,extAttack2
556889,Electrode - Pikachu 25,Electrode Pikachu 25,https://tcgplayer-cdn.tcgplayer.com/product/556889_200w.jpg,3,23520,https://cpt.tcgcsv.com/PMs6,2024-06-24T18:54:39.963,1,,,0.05,0.22,18.37,0.16,,Normal,Uncommon,067/193,Lightning,90,Stage 1,[L] Lightning Ball (60),Fx2,,1,[C][C][C] Rolling Tackle (90)
556890,Basic Lightning Energy - Pikachu 3,Basic Lightning Energy Pikachu 3,https://tcgplayer-cdn.tcgplayer.com/product/556890_200w.jpg,3,23520,https://cpt.tcgcsv.com/QMs6,2024-06-24T18:56:42.75,1,,,0.01,0.15,6.55,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556891,Seviper - Darkrai Deck,Seviper Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556891_200w.jpg,3,23520,https://cpt.tcgcsv.com/RMs6,2024-06-24T18:58:08.14,1,,,0.08,0.16,1.99,0.14,,Normal,Uncommon,137/193,Darkness,110,Basic,[1] Sharp Fang (40),Fx2,None,1,"[1D] Cross-Cut (50+)
<br>If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 50 more damage."
556892,Basic Lightning Energy - Pikachu 4,Basic Lightning Energy Pikachu 4,https://tcgplayer-cdn.tcgplayer.com/product/556892_200w.jpg,3,23520,https://cpt.tcgcsv.com/SMs6,2024-06-24T18:58:51.167,1,,,0.01,0.15,0.49,0.13,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556893,Switch - Darkrai Deck,Switch Darkrai Deck,https://tcgplayer-cdn.tcgplayer.com/product/556893_200w.jpg,3,23520,https://cpt.tcgcsv.com/TMs6,2024-06-24T18:59:57.687,1,"Switch your Active Pokémon with 1 of your Benched Pokémon.
<br><br>You may play any number of Item cards during your turn.",,0.05,0.15,0.99,0.14,,Normal,Common,194/198,Trainer - Item,,,,,,,
556894,Basic Lightning Energy - Pikachu 8,Basic Lightning Energy Pikachu 8,https://tcgplayer-cdn.tcgplayer.com/product/556894_200w.jpg,3,23520,https://cpt.tcgcsv.com/VMs6,2024-06-24T19:00:58.72,1,,,0.01,0.14,0.49,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556895,Basic Lightning Energy - Pikachu 9,Basic Lightning Energy Pikachu 9,https://tcgplayer-cdn.tcgplayer.com/product/556895_200w.jpg,3,23520,https://cpt.tcgcsv.com/WMs6,2024-06-24T19:01:23.553,1,,,0.01,0.15,0.49,0.16,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556896,Basic Lightning Energy - Pikachu 10,Basic Lightning Energy Pikachu 10,https://tcgplayer-cdn.tcgplayer.com/product/556896_200w.jpg,3,23520,https://cpt.tcgcsv.com/XMs6,2024-06-24T19:01:53.067,1,,,0.01,0.14,0.49,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556897,Basic Lightning Energy - Pikachu 11,Basic Lightning Energy Pikachu 11,https://tcgplayer-cdn.tcgplayer.com/product/556897_200w.jpg,3,23520,https://cpt.tcgcsv.com/ZMs6,2024-06-24T19:02:05.24,1,,,0.01,0.15,6.55,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556898,Basic Lightning Energy - Pikachu 12,Basic Lightning Energy Pikachu 12,https://tcgplayer-cdn.tcgplayer.com/product/556898_200w.jpg,3,23520,https://cpt.tcgcsv.com/-Ms6,2024-06-24T19:02:17.89,1,,,0.01,0.15,0.49,0.13,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556899,Basic Lightning Energy - Pikachu 16,Basic Lightning Energy Pikachu 16,https://tcgplayer-cdn.tcgplayer.com/product/556899_200w.jpg,3,23520,https://cpt.tcgcsv.com/_Ms6,2024-06-24T19:02:29.44,1,,,0.01,0.15,0.49,0.1,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556900,Basic Lightning Energy - Pikachu 20,Basic Lightning Energy Pikachu 20,https://tcgplayer-cdn.tcgplayer.com/product/556900_200w.jpg,3,23520,https://cpt.tcgcsv.com/0Ns6,2024-06-24T19:02:49.053,1,,,0.01,0.15,6.55,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556901,Basic Lightning Energy - Pikachu 22,Basic Lightning Energy Pikachu 22,https://tcgplayer-cdn.tcgplayer.com/product/556901_200w.jpg,3,23520,https://cpt.tcgcsv.com/2Ns6,2024-06-24T19:03:38.09,1,,,0.01,0.15,0.49,0.08,,Normal,Common,004,Basic Lightning Energy,,,,,,,
556902,Basic Lightning Energy - Pikachu 24,Basic Lightning Energy Pikachu 24,https://tcgplayer-cdn.tcgplayer.com/product/556902_200w.jpg,3,23520,https://cpt.tcgcsv.com/3Ns6,2024-06-24T19:04:07.24,1,,,0.01,0.15,0.49,0.14,,Normal,Common,004,Basic Lightning Energy,,,,,,,
