productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extCardText
85469,Fire Energy,Fire Energy,https://tcgplayer-cdn.tcgplayer.com/product/85469_200w.jpg,3,1522,https://cpt.tcgcsv.com/pcJ,2015-04-03T12:30:27.563,1,,Common,Energy,0,Energy,,,,,0.01,0.25,5.05,1.04,,Normal,,
85508,Fletchling,Fletchling,https://tcgplayer-cdn.tcgplayer.com/product/85508_200w.jpg,3,1522,https://cpt.tcgcsv.com/bdJ,2022-12-14T16:18:01.117,1,31/39,Common,Colorless,50,Basic,"[1] Razor Wind (20) 
<br>Flip a coin.  If tails, this attack does nothing.",Lx2,F-20,1,0.32,0.5,5.0,0.69,,Normal,,
85569,Froakie,Froakie,https://tcgplayer-cdn.tcgplayer.com/product/85569_200w.jpg,3,1522,https://cpt.tcgcsv.com/pfJ,2022-12-14T16:13:49.667,1,12/39,Common,Water,60,Basic,[W] Pound (10),Gx2,None,1,0.23,0.47,5.0,0.49,,Normal,[1W] Water Drip (20),
85569,Froakie,Froakie,https://tcgplayer-cdn.tcgplayer.com/product/85569_200w.jpg,3,1522,https://cpt.tcgcsv.com/pfJ,2022-12-14T16:13:49.667,1,12/39,Common,Water,60,Basic,[W] Pound (10),Gx2,None,1,0.4,1.0,3.49,1.22,,Holofoil,[1W] Water Drip (20),
85571,Frogadier,Frogadier,https://tcgplayer-cdn.tcgplayer.com/product/85571_200w.jpg,3,1522,https://cpt.tcgcsv.com/rfJ,2022-12-14T16:13:56.457,1,13/39,Common,Water,80,Stage 1,[W] Water Drip (20),Gx2,None,1,0.19,0.5,1.25,0.57,,Normal,"[1WW] Aqua Wave (40+) 
<br>Flip 2 coins.  This attack does 20 more damage for each heads.",
85571,Frogadier,Frogadier,https://tcgplayer-cdn.tcgplayer.com/product/85571_200w.jpg,3,1522,https://cpt.tcgcsv.com/rfJ,2022-12-14T16:13:56.457,1,13/39,Common,Water,80,Stage 1,[W] Water Drip (20),Gx2,None,1,0.5,1.31,3.15,2.59,,Holofoil,"[1WW] Aqua Wave (40+) 
<br>Flip 2 coins.  This attack does 20 more damage for each heads.",
85587,Furfrou (32),Furfrou 32,https://tcgplayer-cdn.tcgplayer.com/product/85587_200w.jpg,3,1522,https://cpt.tcgcsv.com/MfJ,2022-12-14T16:18:06.69,1,32/39,Common,Colorless,90,Basic,"[2] Tight Jaw (20) Flip a coin.  If heads, your opponent's Active Pokemon is now Paralyzed.",Fx2,,1,0.74,1.0,5.0,2.41,,Normal,,
85588,Furfrou (33),Furfrou 33,https://tcgplayer-cdn.tcgplayer.com/product/85588_200w.jpg,3,1522,https://cpt.tcgcsv.com/NfJ,2022-12-14T16:18:13.6,1,33/39,Common,Colorless,90,Basic,"[2] Tight Jaw (20)
<br>Flip a coin.  If heads, your opponent's Active Pokemon is now Paralyzed.",Fx2,None,1,1.63,2.02,10.23,2.92,,Normal,,
85867,Granbull,Granbull,https://tcgplayer-cdn.tcgplayer.com/product/85867_200w.jpg,3,1522,https://cpt.tcgcsv.com/mmJ,2022-12-14T16:17:10.427,1,23/39,Common,Fairy,100,Stage 1,[1Y] Headbutt (30),Mx2,D-20,3,0.2,0.75,2.0,1.17,,Normal,"[2Y] Double Stomp (50+) 
<br>Flip 2 coins.  This attack does 20 more damage for each heads.",
85884,Grass Energy,Grass Energy,https://tcgplayer-cdn.tcgplayer.com/product/85884_200w.jpg,3,1522,https://cpt.tcgcsv.com/JmJ,2015-04-03T12:30:40.59,1,,Common,Basic Energy,,,,,,,0.45,0.49,4.75,4.94,,Normal,,
