productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extUPC
616832,Code Card - Bloodmoon Ursaluna ex Box,Code Card Bloodmoon Ursaluna ex Box,https://tcgplayer-cdn.tcgplayer.com/product/616832_200w.jpg,3,2374,https://cpt.tcgcsv.com/GLX6,2025-02-05T15:15:52.78,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,0.01,0.05,0.12,0.04,,Normal,
616920,Victini ex/Miraidon ex Battle Decks [Set of 2],Victini ex Miraidon ex Battle Decks Set of 2,https://tcgplayer-cdn.tcgplayer.com/product/616920_200w.jpg,3,2374,https://cpt.tcgcsv.com/qNX6,2025-02-04T20:07:04.753,1,,,,,,"Mighty Pokémon ex Battle for Victory!
<br>Powerful Pokémon ex are ready to charge onto the battlefield in the new Pokémon TCG: ex Battle Decks! Each 60-card deck is led by an exceptional
Pokémon ex and includes everything you need to play right away. Let the battle begin!
<br>
<br>In each box, you’ll find:
<br>• 1 ready-to-play 60-card deck
<br>• 3 reference cards
<br>• 1 rules booklet
<br>• 1 single-player playmat
<br>• 1 set of damage counters
<br>• 1 large metallic coin
<br>• 1 deck box
<br>• 1 strategy sheet
<br>• 1 code card to play this deck online
<br><br>Each set includes one of each, ex Battle Deck [Victini] and ex Battle Deck [Miraidon]",,,,,,,,,,,,
616935,Code Card - Checklane 2-Pack Blister [Pawmot],Code Card Checklane 2 Pack Blister Pawmot,https://tcgplayer-cdn.tcgplayer.com/product/616935_200w.jpg,3,2374,https://cpt.tcgcsv.com/KNX6,2025-02-05T14:39:12.543,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,0.05,0.06,0.29,0.06,,Normal,
616940,"Enhanced 2-Pack Blister Pack [Palafin, Baxcalibur & Garganacl]",Enhanced 2 Pack Blister Pack Palafin Baxcalibur and Garganacl,https://tcgplayer-cdn.tcgplayer.com/product/616940_200w.jpg,3,2374,https://cpt.tcgcsv.com/QNX6,2025-02-04T20:47:54.477,1,,,,,,"Expand your collection with three foil Pokémon TCG cards featuring Palafin, Baxcalibur, and Garganacl—plus a metallic coin, two Pokémon TCG booster packs, and a code card for Pokémon TCG Live!
<br>Includes 3 cards, 2 booster packs, a coin, and a code card
Each booster pack contains 10 cards and 1 Basic Energy or 1 VSTAR marker. Cards vary by pack.",,,,,,,,,,,,
616943,"Code Card - Enhanced 2-Pack Blister Pack [Palafin, Baxcalibur & Garganacl]",Code Card Enhanced 2 Pack Blister Pack Palafin Baxcalibur and Garganacl,https://tcgplayer-cdn.tcgplayer.com/product/616943_200w.jpg,3,2374,https://cpt.tcgcsv.com/TNX6,2025-02-05T13:08:34.65,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,0.01,0.36,0.99,0.49,,Normal,
616944,Code Card - Back-to-School 2024 Collector Chest,Code Card Back to School 2024 Collector Chest,https://tcgplayer-cdn.tcgplayer.com/product/616944_200w.jpg,3,2374,https://cpt.tcgcsv.com/VNX6,2025-02-05T13:12:46.033,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,0.05,0.1,0.25,0.1,,Normal,
616945,Code Card - Fall 2023 Collector Chest,Code Card Fall 2023 Collector Chest,https://tcgplayer-cdn.tcgplayer.com/product/616945_200w.jpg,3,2374,https://cpt.tcgcsv.com/WNX6,2025-02-05T13:11:06.82,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,0.03,0.41,0.6,0.41,,Normal,
616946,Code Card - Fall 2024 Collector Chest,Code Card Fall 2024 Collector Chest,https://tcgplayer-cdn.tcgplayer.com/product/616946_200w.jpg,3,2374,https://cpt.tcgcsv.com/XNX6,2025-02-05T13:11:35.46,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,2.5,2.5,2.5,,,Normal,
616951,"Enhanced 2-Pack Blister Pack [Latios, Zekrom & Palkia]",Enhanced 2 Pack Blister Pack Latios Zekrom and Palkia,https://tcgplayer-cdn.tcgplayer.com/product/616951_200w.jpg,3,2374,https://cpt.tcgcsv.com/2PX6,2025-02-04T21:20:44.557,1,,,,,,"Give Your Collection a Boost!
<br>
Expand your collection with three foil Pokémon TCG cards featuring Latios, Zekrom, and Palkia—plus a metallic coin, two Pokémon TCG booster packs, and a code card for Pokémon TCG Live!
<br><br>
Includes:
<br>
<br>• Foil cards featuring Latios, Zekrom, and Palkia
<br>• A Pokémon coin
<br>• 2 Pokémon TCG booster packs <em>(Each booster pack contains 10 cards and either 1 Basic Energy or 1 VSTAR marker. Cards vary by pack. Packs may vary by product.)</em>
<br>• A code card for Pokémon TCG Live",,,,,,,,,,,,290-85872
616952,"Code Card - Enhanced 2-Pack Blister Pack [Latios, Zekrom & Palkia]",Code Card Enhanced 2 Pack Blister Pack Latios Zekrom and Palkia,https://tcgplayer-cdn.tcgplayer.com/product/616952_200w.jpg,3,2374,https://cpt.tcgcsv.com/3PX6,2025-02-05T13:09:17.7,1,,Code Card,,,,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,,,,,,,,,,,
