productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3
84565,Dark Arbok,Dark Arbok,https://tcgplayer-cdn.tcgplayer.com/product/84565_200w.jpg,3,1428,https://cpt.tcgcsv.com/kRH,2024-04-11T17:52:39.04,1,29/109,Uncommon,Darkness Grass,90,Stage 1,,"[G] Swallow Up (10+) 
<br>Before doing damage, count the number of remaining HP of the Defending Pokemon and Dark Arbok.  If the Defending Pokemon has fewer remaining HP than Dark Arbok's, this attack does 10 damage plus 30 more damage.",P,None,1,2.17,3.32,9.0,4.4,,Normal,"[2] Extra Poison (30) 
<br>If the Defending Pokemon is Pokemon-ex, the Defending Pokemon is now Asleep and Poisoned.",
84565,Dark Arbok,Dark Arbok,https://tcgplayer-cdn.tcgplayer.com/product/84565_200w.jpg,3,1428,https://cpt.tcgcsv.com/kRH,2024-04-11T17:52:39.04,1,29/109,Uncommon,Darkness Grass,90,Stage 1,,"[G] Swallow Up (10+) 
<br>Before doing damage, count the number of remaining HP of the Defending Pokemon and Dark Arbok.  If the Defending Pokemon has fewer remaining HP than Dark Arbok's, this attack does 10 damage plus 30 more damage.",P,None,1,69.99,71.22,72.45,69.69,,Reverse Holofoil,"[2] Extra Poison (30) 
<br>If the Defending Pokemon is Pokemon-ex, the Defending Pokemon is now Asleep and Poisoned.",
84567,Dark Ariados,Dark Ariados,https://tcgplayer-cdn.tcgplayer.com/product/84567_200w.jpg,3,1428,https://cpt.tcgcsv.com/mRH,2024-04-11T17:52:39.23,1,30/109,Uncommon,Darkness Grass,70,Stage 1,,"[1] Super Poison Breath 
<br>Each Defending Pokemon is now Poisoned.",R,None,1,1.49,2.99,9.99,2.57,,Normal,"[2G] Breaking Impact 
<br>Choose 1 of your opponent's Pokemon.  This attack does 20 damage for each Energy in that Pokemon's Retreat Cost (after applying effects to the Retreat Cost).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",
84567,Dark Ariados,Dark Ariados,https://tcgplayer-cdn.tcgplayer.com/product/84567_200w.jpg,3,1428,https://cpt.tcgcsv.com/mRH,2024-04-11T17:52:39.23,1,30/109,Uncommon,Darkness Grass,70,Stage 1,,"[1] Super Poison Breath 
<br>Each Defending Pokemon is now Poisoned.",R,None,1,11.95,15.62,49.99,36.49,,Reverse Holofoil,"[2G] Breaking Impact 
<br>Choose 1 of your opponent's Pokemon.  This attack does 20 damage for each Energy in that Pokemon's Retreat Cost (after applying effects to the Retreat Cost).  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",
84577,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84577_200w.jpg,3,1428,https://cpt.tcgcsv.com/zRH,2024-04-11T17:52:39.34,1,3/109,Holo Rare,Darkness Grass,90,Stage 2,"<b>Poke-POWER</b> Black Beam <br>
<br>Once during your turn <em>(before your attack)</em>, if Dark Crobat is your Active Pokemon, you may choose 1 of the Defending Pokemon.  That Pokemon is now Poisoned.  This power can't be used if Dark Crobat is affected by a Special Condition.","[1G] Dark Drain 
<br>Does 10 damage to each of your opponent's Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>  Remove from Dark Crobat a number of damage counters equal to the number of your opponent's Pokemon in play.",L,F,1,18.0,20.0,22.0,,,Normal,"[1G] Skill Dive
<br>Does 30 damage to 1 of your opponent's Pokemon. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>",
84577,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84577_200w.jpg,3,1428,https://cpt.tcgcsv.com/zRH,2024-04-11T17:52:39.34,1,3/109,Holo Rare,Darkness Grass,90,Stage 2,"<b>Poke-POWER</b> Black Beam <br>
<br>Once during your turn <em>(before your attack)</em>, if Dark Crobat is your Active Pokemon, you may choose 1 of the Defending Pokemon.  That Pokemon is now Poisoned.  This power can't be used if Dark Crobat is affected by a Special Condition.","[1G] Dark Drain 
<br>Does 10 damage to each of your opponent's Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>  Remove from Dark Crobat a number of damage counters equal to the number of your opponent's Pokemon in play.",L,F,1,25.99,29.98,199.99,29.4,,Holofoil,"[1G] Skill Dive
<br>Does 30 damage to 1 of your opponent's Pokemon. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>",
84577,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84577_200w.jpg,3,1428,https://cpt.tcgcsv.com/zRH,2024-04-11T17:52:39.34,1,3/109,Holo Rare,Darkness Grass,90,Stage 2,"<b>Poke-POWER</b> Black Beam <br>
<br>Once during your turn <em>(before your attack)</em>, if Dark Crobat is your Active Pokemon, you may choose 1 of the Defending Pokemon.  That Pokemon is now Poisoned.  This power can't be used if Dark Crobat is affected by a Special Condition.","[1G] Dark Drain 
<br>Does 10 damage to each of your opponent's Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>  Remove from Dark Crobat a number of damage counters equal to the number of your opponent's Pokemon in play.",L,F,1,99.95,169.99,189.99,90.0,,Reverse Holofoil,"[1G] Skill Dive
<br>Does 30 damage to 1 of your opponent's Pokemon. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>",
84582,Dark Dragonair - 031/109,Dark Dragonair 031 109,https://tcgplayer-cdn.tcgplayer.com/product/84582_200w.jpg,3,1428,https://cpt.tcgcsv.com/GRH,2025-12-02T02:50:09.537,1,31/109,Uncommon,Darkness,70,Stage 1,"<b>Poke-POWER</b> Evolutionary Light 
<br>
<br>Once during your turn <em>(before your attack)</em>, if Dark Dragonair is your Active Pokemon, you may search your deck for an Evolution card.  Show it to your opponent and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Dark Dragonair is affected by a Special Condition.",[LW] Dragon Rage (30),C,FG,1,3.99,7.5,19.99,5.71,3.99,Normal,,
84582,Dark Dragonair - 031/109,Dark Dragonair 031 109,https://tcgplayer-cdn.tcgplayer.com/product/84582_200w.jpg,3,1428,https://cpt.tcgcsv.com/GRH,2025-12-02T02:50:09.537,1,31/109,Uncommon,Darkness,70,Stage 1,"<b>Poke-POWER</b> Evolutionary Light 
<br>
<br>Once during your turn <em>(before your attack)</em>, if Dark Dragonair is your Active Pokemon, you may search your deck for an Evolution card.  Show it to your opponent and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Dark Dragonair is affected by a Special Condition.",[LW] Dragon Rage (30),C,FG,1,150.18,169.88,175.0,193.87,,Reverse Holofoil,,
84583,Dark Dragonair - 032/109,Dark Dragonair 032 109,https://tcgplayer-cdn.tcgplayer.com/product/84583_200w.jpg,3,1428,https://cpt.tcgcsv.com/HRH,2024-04-11T17:52:39.657,1,32/109,Uncommon,Darkness,80,Stage 1,,"[1W] Double Tackle 
<br>Does 20 damage to each Defending Pokemon.",C,FG,1,20.99,23.81,39.99,21.36,,Normal,"[2L] Crushing Blow (40) 
<br>Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",
