productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
161757,Pikachu World Collection Promo Set,Pikachu World Collection Promo Set,https://tcgplayer-cdn.tcgplayer.com/product/161757_200w.jpg,3,2205,https://cpt.tcgcsv.com/9Kj2,2018-03-02T14:43:40.667,1,,,,,,,,,"This sealed product contains 9 promotional cards of Pikachu, printed in various languages.",,,,,,,,
215162,Pikachu World Collection Promo Set (2010),Pikachu World Collection Promo Set 2010,https://tcgplayer-cdn.tcgplayer.com/product/215162_200w.jpg,3,2205,https://cpt.tcgcsv.com/g5L2,2020-05-29T22:01:28.757,1,,,,,,,,,"This sealed product contains 9 promotional cards of Pikachu, printed in various languages.",,,,,,,,
215164,Pikachu World Collection Promo Set (2010) (Green),Pikachu World Collection Promo Set 2010 Green,https://tcgplayer-cdn.tcgplayer.com/product/215164_200w.jpg,3,2205,https://cpt.tcgcsv.com/j5L2,2020-05-29T22:10:25.88,1,,,,,,,,,"This sealed product contains 9 promotional cards of Pikachu, printed in various languages. <em>The green background variant could be found only in Pokémon Centers and 7-11 stores.</em>",,,,,,,,
