productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
98564,Sandstorm Booster Box,Sandstorm Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/98564_200w.jpg,3,1392,https://cpt.tcgcsv.com/jrP,2015-05-06T14:40:28.023,1,,,,,,,,,,,,,,,,,
98565,Sandstorm Booster Pack,Sandstorm Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/98565_200w.jpg,3,1392,https://cpt.tcgcsv.com/krP,2017-07-22T16:55:15.467,1,,,,,,,,,,,,493.95,496.95,499.95,349.99,,Normal
